Elecció;Any;% CUP;NUM_ELECTORS;% VOX;% PSC;VOTS_CANDIDATURES;PP;Junts;% Aliança;CDIS;% PACMA;% Cs;Participació;CUP;ERC;CSEC;% Comuns;Districte;VOX;PSC;Cs;% ERC;% Junts;% PP;Secció;Comuns;Aliança;PACMA;CUSEC;Altres;% Altres
Parlament;2024;3.46%;1217;15.57%;33.02%;636;64;58;2.67%;6;2.04%;1.57%;52.26%;22;74;2;7.23%;6;99;210;10;11.64%;9.12%;10.06%;2;46;17;13;827906002;23;3.62%
Parlament;2024;7.74%;1597;3.83%;16.30%;1098;64;386;3.83%;1;0.91%;0.46%;68.75%;85;178;4;5.92%;1;42;179;5;16.21%;35.15%;5.83%;4;65;42;10;827901004;42;3.83%
Parlament;2024;1.56%;1730;16.76%;38.69%;1026;91;77;1.85%;4;1.46%;1.36%;59.31%;16;126;23;6.82%;4;172;397;14;12.28%;7.50%;8.87%;23;70;19;15;827904023;29;2.83%
Parlament;2024;2.06%;895;15.84%;34.36%;486;50;46;1.65%;6;1.23%;0.62%;54.30%;10;71;9;7.41%;6;77;167;3;14.61%;9.47%;10.29%;9;36;8;6;827906009;12;2.47%
Parlament;2024;3.67%;582;9.48%;28.44%;327;55;48;2.75%;5;2.45%;2.45%;56.19%;12;34;22;6.12%;5;31;93;8;10.40%;14.68%;16.82%;22;20;9;8;827905022;9;2.75%
Parlament;2024;4.80%;1461;5.66%;24.76%;937;85;246;1.92%;5;1.07%;0.32%;64.13%;45;163;8;4.59%;5;53;232;3;17.40%;26.25%;9.07%;8;43;18;10;827905008;39;4.16%
Parlament;2024;1.99%;729;13.95%;41.86%;301;37;32;1.99%;6;1.00%;0.33%;41.29%;6;18;14;6.31%;6;42;126;1;5.98%;10.63%;12.29%;14;19;6;3;827906014;11;3.65%
Parlament;2024;4.31%;1243;6.80%;25.75%;765;45;183;3.40%;4;1.70%;0.26%;61.54%;33;135;13;7.71%;4;52;197;2;17.65%;23.92%;5.88%;13;59;26;13;827904013;20;2.61%
Parlament;2024;2.20%;1485;14.49%;39.20%;773;89;58;2.07%;6;0.91%;1.81%;52.05%;17;79;3;7.63%;6;112;303;14;10.22%;7.50%;11.51%;3;59;16;7;827906003;19;2.46%
Parlament;2024;4.49%;1543;6.19%;23.75%;1002;75;247;4.99%;5;1.20%;0.80%;64.94%;45;182;23;5.59%;5;62;238;8;18.16%;24.65%;7.49%;23;56;50;12;827905023;27;2.69%
Parlament;2024;2.14%;1870;16.99%;35.34%;1030;188;64;0.68%;7;0.97%;2.14%;55.08%;22;84;4;5.53%;7;175;364;22;8.16%;6.21%;18.25%;4;57;7;10;827907004;37;3.59%
Parlament;2024;5.32%;1044;3.82%;15.69%;733;55;282;5.46%;4;1.23%;0.41%;70.21%;39;110;14;4.91%;4;28;115;3;15.01%;38.47%;7.50%;14;36;40;9;827904014;16;2.18%
Parlament;2024;2.84%;954;17.30%;36.02%;422;46;32;0.95%;3;1.90%;0.71%;44.23%;12;48;4;6.87%;3;73;152;3;11.37%;7.58%;10.90%;4;29;4;8;827903004;15;3.55%
Parlament;2024;4.09%;1626;6.88%;20.34%;1003;82;272;3.09%;3;1.69%;0.30%;61.69%;41;189;6;6.38%;3;69;204;3;18.84%;27.12%;8.18%;6;64;31;17;827903006;31;3.09%
Parlament;2024;7.79%;878;5.68%;23.21%;616;43;170;3.57%;5;0.81%;0.49%;70.16%;48;86;7;6.49%;5;35;143;3;13.96%;27.60%;6.98%;7;40;22;5;827905007;21;3.41%
Parlament;2024;2.90%;1326;10.16%;29.68%;758;53;132;3.69%;4;2.24%;1.06%;57.16%;22;118;5;6.73%;4;77;225;8;15.57%;17.41%;6.99%;5;51;28;17;827904005;27;3.56%
Parlament;2024;6.54%;1056;3.40%;17.41%;764;57;258;6.15%;1;0.92%;0.65%;72.35%;50;121;5;5.50%;1;26;133;5;15.84%;33.77%;7.46%;5;42;47;7;827901005;18;2.36%
Parlament;2024;4.68%;1016;11.44%;28.60%;577;48;84;3.64%;5;1.91%;1.73%;56.79%;27;88;19;5.89%;5;66;165;10;15.25%;14.56%;8.32%;19;34;21;11;827905019;23;3.99%
Parlament;2024;2.63%;635;15.20%;41.81%;342;30;19;2.34%;1;0.58%;0.58%;53.86%;9;39;13;9.06%;1;52;143;2;11.40%;5.56%;8.77%;13;31;8;2;827901013;7;2.05%
Parlament;2024;1.91%;881;17.83%;41.61%;471;59;32;1.27%;6;0.64%;1.27%;53.46%;9;42;1;4.25%;6;84;196;6;8.92%;6.79%;12.53%;1;20;6;3;827906001;14;2.97%
Parlament;2024;2.74%;1178;11.59%;35.91%;621;67;75;2.42%;3;2.25%;2.09%;52.72%;17;74;3;4.51%;3;72;223;13;11.92%;12.08%;10.79%;3;28;15;14;827903003;23;3.70%
Parlament;2024;3.35%;1677;10.56%;24.67%;985;81;180;4.87%;3;2.03%;0.71%;58.74%;33;181;7;5.48%;3;104;243;7;18.38%;18.27%;8.22%;7;54;48;20;827903007;34;3.45%
