Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;PxC;% PxC;En Blanco;% En Blanco;PRIMARIES;% PRIMARIES;TxT;% TxT;VOX;% VOX;Podem;% Podem;PACMA;% PACMA;Altres;% Altres
Municipals;2015;3;17;08279803017;876;430;6;2;422;48,86%;197;0.4668;5;0.0118;18;0.0427;29;0.0687;85;0.2014;67;0.1588;4;0.0095;8;0.019;;;0;0;0;0;0;0;0;0;0;0;9;0.0213
Municipals;2015;3;18;08279803018;747;422;1;3;418;56,09%;181;0.433;7;0.0167;22;0.0526;24;0.0574;96;0.2297;58;0.1388;8;0.0191;13;0.0311;;;0;0;0;0;0;0;0;0;0;0;9;0.0215
Municipals;2015;3;19;08279803019;928;440;7;5;428;46,88%;199;0.465;12;0.028;26;0.0607;31;0.0724;83;0.1939;56;0.1308;13;0.0304;5;0.0117;;;0;0;0;0;0;0;0;0;0;0;3;0.007
Municipals;2015;3;20;08279803020;1189;625;11;2;612;52,40%;197;0.3219;53;0.0866;71;0.116;30;0.049;141;0.2304;63;0.1029;38;0.0621;14;0.0229;;;0;0;0;0;0;0;0;0;0;0;5;0.0082
Municipals;2015;4;1;08279804001;1121;647;7;3;637;57,45%;87;0.1366;232;0.3642;116;0.1821;43;0.0675;52;0.0816;31;0.0487;64;0.1005;5;0.0078;;;0;0;0;0;0;0;0;0;0;0;7;0.011
Municipals;2015;4;2;08279804002;1131;687;7;0;680;60,74%;103;0.1515;208;0.3059;171;0.2515;21;0.0309;73;0.1074;41;0.0603;51;0.075;5;0.0074;;;0;0;0;0;0;0;0;0;0;0;7;0.0103
Municipals;2015;4;3;08279804003;1246;705;4;2;699;56,42%;153;0.2189;140;0.2003;134;0.1917;48;0.0687;103;0.1474;36;0.0515;69;0.0987;10;0.0143;;;0;0;0;0;0;0;0;0;0;0;6;0.0086
Municipals;2015;4;4;08279804004;1110;651;7;5;639;58,20%;175;0.2739;102;0.1596;104;0.1628;42;0.0657;95;0.1487;59;0.0923;42;0.0657;13;0.0203;;;0;0;0;0;0;0;0;0;0;0;7;0.011
Municipals;2015;4;5;08279804005;1262;647;22;4;621;50,95%;142;0.2287;99;0.1594;99;0.1594;28;0.0451;107;0.1723;66;0.1063;67;0.1079;4;0.0064;;;0;0;0;0;0;0;0;0;0;0;9;0.0145
Municipals;2015;4;6;08279804006;1406;781;17;2;762;55,41%;250;0.3281;52;0.0682;83;0.1089;43;0.0564;170;0.2231;89;0.1168;42;0.0551;21;0.0276;;;0;0;0;0;0;0;0;0;0;0;12;0.0157
Municipals;2015;4;7;08279804007;1871;922;22;6;894;48,96%;311;0.3479;63;0.0705;79;0.0884;41;0.0459;207;0.2315;117;0.1309;42;0.047;27;0.0302;;;0;0;0;0;0;0;0;0;0;0;7;0.0078
Municipals;2015;4;8;08279804008;946;508;10;7;491;52,96%;140;0.2851;37;0.0754;38;0.0774;28;0.057;126;0.2566;57;0.1161;36;0.0733;19;0.0387;;;0;0;0;0;0;0;0;0;0;0;10;0.0204
Municipals;2015;4;9;08279804009;749;356;5;0;351;47,53%;143;0.4074;5;0.0142;17;0.0484;30;0.0855;85;0.2422;47;0.1339;7;0.0199;13;0.037;;;0;0;0;0;0;0;0;0;0;0;4;0.0114
Municipals;2015;4;10;08279804010;733;366;6;3;357;49,52%;165;0.4622;12;0.0336;19;0.0532;29;0.0812;76;0.2129;36;0.1008;8;0.0224;7;0.0196;;;0;0;0;0;0;0;0;0;0;0;5;0.014
Municipals;2015;4;12;08279804012;982;546;6;7;533;54,89%;154;0.2889;51;0.0957;79;0.1482;29;0.0544;113;0.212;49;0.0919;42;0.0788;13;0.0244;;;0;0;0;0;0;0;0;0;0;0;3;0.0056
Municipals;2015;4;13;08279804013;1199;710;2;2;706;59,05%;155;0.2195;138;0.1955;149;0.211;35;0.0496;119;0.1686;39;0.0552;56;0.0793;8;0.0113;;;0;0;0;0;0;0;0;0;0;0;7;0.0099
Municipals;2015;4;14;08279804014;969;625;10;1;614;64,40%;85;0.1384;171;0.2785;183;0.298;30;0.0489;47;0.0765;45;0.0733;42;0.0684;4;0.0065;;;0;0;0;0;0;0;0;0;0;0;7;0.0114
Municipals;2015;4;15;08279804015;824;513;11;2;500;62,01%;51;0.102;190;0.38;127;0.254;27;0.054;33;0.066;16;0.032;49;0.098;0;0;;;0;0;0;0;0;0;0;0;0;0;7;0.014
Municipals;2015;4;16;08279804016;945;634;9;5;620;66,56%;67;0.1081;213;0.3435;121;0.1952;49;0.079;58;0.0935;32;0.0516;67;0.1081;3;0.0048;;;0;0;0;0;0;0;0;0;0;0;10;0.0161
Municipals;2015;4;17;08279804017;1117;718;9;1;708;64,19%;148;0.209;157;0.2218;168;0.2373;35;0.0494;71;0.1003;48;0.0678;70;0.0989;5;0.0071;;;0;0;0;0;0;0;0;0;0;0;6;0.0085
Municipals;2015;4;18;08279804018;1853;1099;18;5;1076;59,04%;281;0.2612;167;0.1552;183;0.1701;49;0.0455;177;0.1645;95;0.0883;100;0.0929;15;0.0139;;;0;0;0;0;0;0;0;0;0;0;9;0.0084
