Districte;Secció;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona ;Bruta - Neta Hogar;Bruta - Neta Persona;Presión fiscal Hogar;Presión fiscal Persona;CDIS;CSEC;Pressió H;Pressió P
6;4;32.486;11.029;28.265;9.596;4.221;1.433;12.99%;12.99%;6;4;12.99;12.99
6;5;37.042;14.355;31.314;12.135;5.728;2.220;15.46%;15.46%;6;5;15.46;15.46
6;6;41.264;15.895;34.231;13.186;7.033;2.709;17.04%;17.04%;6;6;17.04;17.04
6;8;40.337;17.045;33.601;14.198;6.736;2.847;16.70%;16.70%;6;8;16.7;16.7
6;9;39.692;14.389;33.788;12.249;5.904;2.140;14.87%;14.87%;6;9;14.87;14.87
6;10;41.918;16.089;35.039;13.449;6.879;2.640;16.41%;16.41%;6;10;16.41;16.41
6;11;33.296;12.465;29.038;10.872;4.258;1.593;12.79%;12.78%;6;11;12.79;12.78
6;12;34.082;13.553;29.194;11.609;4.888;1.944;14.34%;14.34%;6;12;14.34;14.34
6;13;34.856;13.321;30.026;11.475;4.830;1.846;13.86%;13.86%;6;13;13.86;13.86
6;14;34.110;11.757;29.310;10.103;4.800;1.654;14.07%;14.07%;6;14;14.07;14.07
6;16;36.092;13.398;30.821;11.442;5.271;1.956;14.60%;14.60%;6;16;14.6;14.6
6;18;28.642;11.194;25.565;9.992;3.077;1.202;10.74%;10.74%;6;18;10.74;10.74
6;20;26.367;10.167;23.344;9.001;3.023;1.166;11.47%;11.47%;6;20;11.47;11.47
6;23;38.142;14.008;32.745;12.026;5.397;1.982;14.15%;14.15%;6;23;14.15;14.15
6;24;39.281;13.964;33.552;11.928;5.729;2.036;14.58%;14.58%;6;24;14.58;14.58
6;25;36.924;12.847;31.743;11.045;5.181;1.802;14.03%;14.03%;6;25;14.03;14.03
6;26;36.572;13.638;31.148;11.616;5.424;2.022;14.83%;14.83%;6;26;14.83;14.83
6;27;32.141;12.680;27.890;11.003;4.251;1.677;13.23%;13.23%;6;27;13.23;13.23
6;28;42.021;16.239;35.255;13.625;6.766;2.614;16.10%;16.10%;6;28;16.1;16.1
6;29;41.426;14.913;34.826;12.537;6.600;2.376;15.93%;15.93%;6;29;15.93;15.93
6;30;42.521;15.892;35.258;13.177;7.263;2.715;17.08%;17.08%;6;30;17.08;17.08
6;31;34.558;12.910;30.057;11.228;4.501;1.682;13.02%;13.03%;6;31;13.02;13.03
6;32;46.319;16.127;38.429;13.380;7.890;2.747;17.03%;17.03%;6;32;17.03;17.03
6;33;60.394;18.956;48.950;15.364;11.444;3.592;18.95%;18.95%;6;33;18.95;18.95
7;1;57.829;20.534;45.877;16.290;11.952;4.244;20.67%;20.67%;7;1;20.67;20.67
7;2;35.744;13.573;30.929;11.745;4.815;1.828;13.47%;13.47%;7;2;13.47;13.47
7;3;30.776;10.773;26.951;9.434;3.825;1.339;12.43%;12.43%;7;3;12.43;12.43
7;4;53.655;18.548;44.336;15.327;9.319;3.221;17.37%;17.37%;7;4;17.37;17.37
