Elecció;Any;Districte;Secció;Junts;Participació;PP;PSC;% CUP;% PSC;% Junts;PACMA;% CECP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CECP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;% PP;Secció;CUP;Altres;% Altres
Parlament;2017;3;15;92;83.3;37;142;3.78;17.91;11.6;10;9.08;1.26;32.16;789;4;72;255;779;783;6;140;3;952;17.65;4.67;15;30;1;0.13
Parlament;2017;3;16;25;74.22;31;118;3.19;23.55;4.99;11;9.58;2.2;40.72;499;2;48;204;494;496;3;40;3;675;7.98;6.19;16;16;1;0.2
Parlament;2017;3;17;25;77.66;47;122;1.24;18.97;3.89;7;12.29;1.09;43.39;639;4;79;279;633;637;2;62;3;828;9.64;7.31;17;8;4;0.63
Parlament;2017;3;18;35;85.24;28;130;1.24;20.09;5.41;14;10.51;2.16;39.1;641;6;68;253;634;640;1;96;3;759;14.84;4.33;18;8;2;0.32
Parlament;2017;3;19;39;76.16;26;148;3.19;21.45;5.65;13;8.12;1.88;40;688;2;56;276;681;683;5;96;3;906;13.91;3.77;19;22;5;0.73
Parlament;2017;3;20;126;78.35;31;133;4.39;14.58;13.82;10;9.54;1.1;30.7;910;2;87;280;906;908;2;195;3;1164;21.38;3.4;20;40;4;0.44
Parlament;2017;4;1;376;84.95;38;72;5.3;7.64;39.87;4;4.45;0.42;14;939;4;42;132;933;937;2;218;4;1110;23.12;4.03;1;50;1;0.11
Parlament;2017;4;2;378;85.09;19;75;6.05;7.82;39.42;7;4.8;0.73;11.37;955;4;46;109;947;951;4;255;4;1127;26.59;1.98;2;58;0;0
Parlament;2017;4;3;289;81.41;34;116;5.49;11.18;27.84;10;6.74;0.96;19.85;1031;7;70;206;1022;1029;2;239;4;1275;23.03;3.28;3;57;1;0.1
Parlament;2017;4;4;207;83.58;29;98;5.02;10.24;21.63;13;7.94;1.36;23.62;953;4;76;226;944;948;5;240;4;1145;25.08;3.03;4;48;7;0.74
