Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;DL;% DL;En Comú;% En Comú;ERC;% ERC;PACMA;% PACMA;PP;% PP;PSC;% PSC;Unió;% Unió
Generals;2015;3;8;0827903008;1553;1067;6;10;1051;69,09%;135;12,58%;16;1,49%;361;33,64%;46;4,29%;13;1,21%;121;11,28%;343;31,97%;3;0,28%
Generals;2015;3;9;0827903009;1929;1430;3;2;1425;74,29%;245;17,10%;153;10,68%;488;34,05%;185;12,91%;22;1,54%;104;7,26%;192;13,40%;21;1,47%
Generals;2015;3;10;0827903010;1523;1067;4;5;1058;70,32%;205;19,14%;4;0,37%;346;32,31%;32;2,99%;19;1,77%;123;11,48%;314;29,32%;7;0,65%
Generals;2015;3;11;0827903011;1148;687;3;5;679;60,10%;135;19,57%;10;1,45%;243;35,22%;27;3,91%;13;1,88%;57;8,26%;185;26,81%;7;1,01%
Generals;2015;3;12;0827903012;1753;1258;9;8;1241;72,28%;275;21,70%;34;2,68%;334;26,36%;81;6,39%;13;1,03%;224;17,68%;252;19,89%;12;0,95%
Generals;2015;3;14;0827903014;1110;692;2;7;683;62,52%;103;14,84%;28;4,03%;198;28,53%;62;8,93%;17;2,45%;97;13,98%;162;23,34%;5;0,72%
Generals;2015;3;15;0827903015;939;702;5;4;693;75,29%;98;13,86%;49;6,93%;209;29,56%;67;9,48%;11;1,56%;86;12,16%;162;22,91%;5;0,71%
Generals;2015;3;16;0827903016;637;440;0;3;437;69,07%;89;20,23%;6;1,36%;122;27,73%;8;1,82%;4;0,91%;73;16,59%;127;28,86%;1;0,23%
Generals;2015;3;17;0827903017;879;590;2;6;582;67,35%;114;19,26%;11;1,86%;172;29,05%;15;2,53%;8;1,35%;74;12,50%;174;29,39%;4;0,68%
Generals;2015;3;18;0827903018;741;565;4;6;555;76,79%;120;21,09%;11;1,93%;192;33,74%;20;3,51%;17;2,99%;56;9,84%;126;22,14%;2;0,35%
Generals;2015;3;19;0827903019;907;600;2;2;596;66,37%;112;18,60%;14;2,33%;155;25,75%;27;4,49%;4;0,66%;86;14,29%;182;30,23%;5;0,83%
Generals;2015;3;20;0827903020;1174;826;3;2;821;70,61%;128;15,44%;77;9,29%;275;33,17%;95;11,46%;20;2,41%;59;7,12%;145;17,49%;10;1,21%
Generals;2015;4;1;0827904001;1129;808;7;4;797;72,19%;49;6,01%;249;30,55%;137;16,81%;186;22,82%;7;0,86%;88;10,80%;51;6,26%;26;3,19%
Generals;2015;4;2;0827904002;1114;804;5;5;794;72,62%;45;5,56%;282;34,86%;156;19,28%;178;22,00%;6;0,74%;51;6,30%;60;7,42%;13;1,61%
Generals;2015;4;3;0827904003;1235;891;3;3;885;72,39%;65;7,27%;183;20,47%;225;25,17%;180;20,13%;15;1,68%;89;9,96%;105;11,74%;14;1,57%
Generals;2015;4;4;0827904004;1109;828;2;3;823;74,84%;126;15,18%;120;14,46%;212;25,54%;159;19,16%;10;1,20%;70;8,43%;110;13,25%;9;1,08%
Generals;2015;4;5;0827904005;1257;874;4;5;865;69,85%;142;16,17%;107;12,19%;249;28,36%;156;17,77%;22;2,51%;61;6,95%;107;12,19%;12;1,37%
Generals;2015;4;6;0827904006;1408;1048;15;2;1031;75,50%;183;17,22%;53;4,99%;339;31,89%;128;12,04%;15;1,41%;100;9,41%;183;17,22%;13;1,22%
Generals;2015;4;7;0827904007;1887;1260;7;5;1248;67,14%;233;18,39%;77;6,08%;394;31,10%;116;9,16%;26;2,05%;132;10,42%;234;18,47%;16;1,26%
Generals;2015;4;8;0827904008;936;680;5;7;668;73,18%;130;18,98%;39;5,69%;231;33,72%;46;6,72%;16;2,34%;62;9,05%;129;18,83%;7;1,02%
Generals;2015;4;9;0827904009;748;508;3;2;503;68,32%;97;18,98%;12;2,35%;170;33,27%;18;3,52%;8;1,57%;73;14,29%;115;22,50%;5;0,98%
Generals;2015;4;10;0827904010;726;474;4;3;467;65,84%;65;13,60%;5;1,05%;161;33,68%;23;4,81%;5;1,05%;60;12,55%;137;28,66%;3;0,63%
Generals;2015;4;12;0827904012;996;719;6;9;704;72,79%;95;13,10%;82;11,31%;223;30,76%;102;14,07%;9;1,24%;68;9,38%;113;15,59%;7;0,97%
Generals;2015;4;13;0827904013;1173;896;2;2;892;76,56%;97;10,80%;159;17,71%;213;23,72%;204;22,72%;12;1,34%;61;6,79%;129;14,37%;9;1,00%
Generals;2015;4;14;0827904014;968;768;4;4;760;79,75%;79;10,23%;215;27,85%;115;14,90%;201;26,04%;5;0,65%;69;8,94%;54;6,99%;20;2,59%
Generals;2015;4;15;0827904015;855;633;7;2;624;74,85%;44;6,88%;221;34,53%;65;10,16%;146;22,81%;8;1,25%;64;10,00%;54;8,44%;19;2,97%
Generals;2015;4;16;0827904016;953;748;6;4;738;79,12%;55;7,29%;230;30,50%;144;19,10%;163;21,62%;5;0,66%;64;8,49%;43;5,70%;30;3,98%
Generals;2015;4;17;0827904017;1126;885;8;3;874;79,31%;81;9,07%;203;22,73%;195;21,84%;205;22,96%;14;1,57%;83;9,29%;78;8,73%;12;1,34%
Generals;2015;4;18;0827904018;1841;1351;7;8;1336;73,76%;178;13,11%;214;15,76%;318;23,42%;282;20,77%;17;1,25%;110;8,10%;189;13,92%;25;1,84%
Generals;2015;4;19;0827904019;899;645;5;9;631;72,30%;112;17,23%;46;7,08%;226;34,77%;63;9,69%;1;0,15%;65;10,00%;106;16,31%;5;0,77%
Generals;2015;4;20;0827904020;545;336;0;4;332;61,65%;49;14,58%;4;1,19%;86;25,60%;12;3,57%;4;1,19%;43;12,80%;125;37,20%;1;0,30%
Generals;2015;4;21;0827904021;778;546;5;1;540;70,82%;92;16,70%;17;3,09%;175;31,76%;33;5,99%;8;1,45%;65;11,80%;142;25,77%;3;0,54%
Generals;2015;4;22;0827904022;1573;1165;3;6;1156;74,25%;260;22,26%;24;2,05%;428;36,64%;100;8,56%;14;1,20%;107;9,16%;196;16,78%;13;1,11%
Generals;2015;4;23;0827904023;1525;1128;4;8;1116;74,23%;217;19,17%;42;3,71%;427;37,72%;94;8,30%;16;1,41%;100;8,83%;205;18,11%;6;0,53%
Generals;2015;4;24;0827904024;1525;1068;8;1;1059;70,56%;217;20,17%;42;3,90%;367;34,11%;75;6,97%;20;1,86%;143;13,29%;182;16,91%;6;0,56%
Generals;2015;4;25;0827904025;884;622;1;0;621;70,48%;85;13,64%;78;12,52%;162;26,00%;81;13,00%;8;1,28%;71;11,40%;123;19,74%;8;1,28%
Generals;2015;4;26;0827904026;1038;777;2;5;770;75,05%;65;8,34%;220;28,24%;136;17,46%;178;22,85%;9;1,16%;54;6,93%;79;10,14%;24;3,08%
Generals;2015;5;1;0827905001;1520;1133;10;2;1121;75,20%;213;18,64%;105;9,19%;318;27,82%;161;14,09%;12;1,05%;115;10,06%;173;15,14%;11;0,96%
