Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;Convergència / Junts;% Convergència / Junts;ERC;% ERC;PP;% PP;Comuns / Sumar;% Comuns / Sumar;Cs;% Cs;CUP;% CUP;Unió;% Unió;PACMA;% PACMA;Front Republicà;% Front Republicà;VOX;% VOX;Más País;% Más País;Altres;% Altres
Generals;2023;2;9;0827902009;1137;673;7;5;661;0.5919;285;0.4312;8;0.0121;55;0.0832;89;0.1346;108;0.1634;;;4;0.0061;;;8;0.0121;;;94;0.1422;;;10;0.0151
Generals;2023;2;11;0827902011;855;502;7;4;491;0.5871;211;0.4297;3;0.0061;42;0.0855;63;0.1283;76;0.1548;;;4;0.0081;;;4;0.0081;;;83;0.169;;;5;0.0102
Generals;2023;2;12;0827902012;681;338;9;3;326;0.4963;181;0.5552;3;0.0092;18;0.0552;26;0.0798;40;0.1227;;;1;0.0031;;;4;0.0123;;;49;0.1503;;;4;0.0123
Generals;2023;2;14;0827902014;1467;912;11;7;894;0.6217;346;0.387;15;0.0168;66;0.0738;110;0.123;155;0.1734;;;7;0.0078;;;18;0.0201;;;169;0.189;;;8;0.0089
Generals;2023;2;15;0827902015;557;277;3;3;271;0.4973;147;0.5424;2;0.0074;3;0.0111;29;0.107;32;0.1181;;;0;0;;;6;0.0221;;;50;0.1845;;;2;0.0074
Generals;2023;2;16;0827902016;1595;1018;8;9;1001;0.6382;379;0.3786;32;0.032;95;0.0949;109;0.1089;169;0.1688;;;8;0.008;;;21;0.021;;;170;0.1698;;;18;0.018
Generals;2023;2;17;0827902017;1457;773;7;3;763;0.5305;342;0.4482;15;0.0197;39;0.0511;71;0.0931;120;0.1573;;;11;0.0144;;;19;0.0249;;;137;0.1796;;;9;0.0118
Generals;2023;3;1;0827903001;1272;824;10;4;810;0.6478;293;0.3617;66;0.0815;113;0.1395;97;0.1198;147;0.1815;;;13;0.016;;;10;0.0123;;;64;0.079;;;7;0.0086
Generals;2023;3;2;0827903002;1085;745;8;7;730;0.6866;301;0.4123;55;0.0753;82;0.1123;83;0.1137;112;0.1534;;;15;0.0205;;;14;0.0192;;;66;0.0904;;;2;0.0027
Generals;2023;3;3;0827903003;1176;732;7;5;720;0.6224;312;0.4333;33;0.0458;58;0.0806;97;0.1347;112;0.1556;;;7;0.0097;;;11;0.0153;;;85;0.1181;;;5;0.0069
Generals;2023;3;4;0827903004;921;549;12;2;535;0.5961;211;0.3944;16;0.0299;46;0.086;78;0.1458;94;0.1757;;;7;0.0131;;;5;0.0093;;;73;0.1364;;;5;0.0093
Generals;2023;3;5;0827903005;1782;1190;13;13;1164;0.6678;392;0.3368;135;0.116;184;0.1581;106;0.0911;207;0.1778;;;25;0.0215;;;17;0.0146;;;83;0.0713;;;15;0.0129
Generals;2023;3;6;0827903006;1606;1095;3;13;1079;0.6818;334;0.3095;151;0.1399;166;0.1538;105;0.0973;198;0.1835;;;28;0.0259;;;11;0.0102;;;68;0.063;;;18;0.0167
