Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;En Blanc;% En Blanc;ERC;% ERC;ICV;% ICV;PACMA;% PACMA;Pirata;% Pirata;PP;% PP;PSC;% PSC;PxC;% PxC;UPYD;% UPYD;Altres;% Altres
4;25;914;621;16;12;593;67.94%;141;22.71%;12;1.93%;30;4.83%;53;8.53%;4;0.64%;1;0.16%;130;20.93%;195;31.40%;19;3.06%;8;1.29%;0;0.00%
4;26;1024;767;7;6;754;74.90%;349;45.50%;22;2.87%;80;10.43%;54;7.04%;3;0.39%;3;0.39%;92;11.99%;139;18.12%;4;0.52%;5;0.65%;3;0.39%
5;1;1436;991;12;22;957;69.01%;259;26.14%;25;2.52%;62;6.26%;68;6.86%;6;0.61%;4;0.40%;198;19.98%;285;28.76%;30;3.03%;13;1.31%;7;0.71%
5;2;1121;744;16;12;716;66.37%;97;13.04%;8;1.08%;10;1.34%;60;8.06%;10;1.34%;6;0.81%;191;25.67%;298;40.05%;23;3.09%;11;1.48%;2;0.27%
5;3;1397;952;8;5;939;68.15%;359;37.71%;11;1.16%;68;7.14%;73;7.67%;4;0.42%;11;1.16%;173;18.17%;209;21.95%;18;1.89%;10;1.05%;3;0.32%
5;4;1107;796;23;16;757;71.91%;251;31.53%;14;1.76%;62;7.79%;73;9.17%;7;0.88%;15;1.88%;112;14.07%;206;25.88%;9;1.13%;5;0.63%;3;0.38%
5;5;764;487;3;4;480;63.74%;152;31.21%;4;0.82%;59;12.11%;47;9.65%;2;0.41%;3;0.62%;84;17.25%;101;20.74%;19;3.90%;6;1.23%;3;0.62%
5;6;1572;1132;21;14;1097;72.01%;417;36.84%;20;1.77%;74;6.54%;99;8.75%;8;0.71%;16;1.41%;163;14.40%;253;22.35%;28;2.47%;15;1.33%;4;0.35%
5;7;860;661;11;11;639;76.86%;230;34.80%;14;2.12%;67;10.14%;74;11.20%;3;0.45%;6;0.91%;92;13.92%;133;20.12%;9;1.36%;9;1.36%;2;0.30%
5;8;1397;949;23;18;908;67.93%;318;33.51%;18;1.90%;67;7.06%;115;12.12%;1;0.11%;10;1.05%;135;14.23%;213;22.44%;13;1.37%;7;0.74%;11;1.16%
5;9;1325;973;17;14;942;73.43%;263;27.03%;10;1.03%;45;4.62%;101;10.38%;9;0.92%;6;0.62%;185;19.01%;297;30.52%;11;1.13%;12;1.23%;3;0.31%
5;10;1458;997;15;6;976;68.38%;118;11.84%;3;0.30%;33;3.31%;99;9.93%;6;0.60%;4;0.40%;235;23.57%;434;43.53%;28;2.81%;11;1.10%;5;0.50%
5;11;1447;1062;22;19;1021;73.39%;276;25.99%;11;1.04%;60;5.65%;123;11.58%;13;1.22%;5;0.47%;209;19.68%;293;27.59%;11;1.04%;19;1.79%;1;0.09%
5;12;581;382;14;4;364;65.75%;81;21.20%;3;0.79%;18;4.71%;42;10.99%;0;0.00%;2;0.52%;71;18.59%;134;35.08%;10;2.62%;3;0.79%;0;0.00%
