Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;VOX;% VOX;PxC;% PxC;Reagrupament;% Reagrupament;SI;% SI;Aliança;% Aliança;PACMA;% PACMA;Unió;% Unió;JxSí;% JxSí;Altres;% Altres
Parlament;2010;1;1;1012;807;20;3;784;81.72;43;5.33%;513;63.57%;55;6.82%;55;6.82%;27;3.35%;12;1.49%;;;;;4;0.50%;12;1.49%;42;5.20%;;;;;;;;;21;2.60%
Parlament;2010;1;2;1104;769;16;2;751;71.11;42;5.46%;404;52.54%;86;11.18%;66;8.58%;51;6.63%;11;1.43%;;;;;10;1.30%;17;2.21%;42;5.46%;;;;;;;;;22;2.86%
Parlament;2010;1;4;1291;949;28;2;919;75.68;78;8.22%;494;52.05%;83;8.75%;82;8.64%;59;6.22%;22;2.32%;;;;;6;0.63%;20;2.11%;46;4.85%;;;;;;;;;29;3.06%
Parlament;2010;1;5;917;695;12;4;679;77.1;59;8.49%;379;54.53%;52;7.48%;60;8.63%;43;6.19%;9;1.29%;;;;;5;0.72%;21;3.02%;34;4.89%;;;;;;;;;17;2.45%
Parlament;2010;1;6;1181;888;13;4;871;76.29;56;6.31%;505;56.87%;63;7.09%;89;10.02%;49;5.52%;11;1.24%;;;;;4;0.45%;15;1.69%;41;4.62%;;;;;;;;;38;4.28%
Parlament;2010;1;7;1214;861;22;4;835;72.73;62;7.20%;465;54.01%;70;8.13%;67;7.78%;52;6.04%;22;2.56%;;;;;8;0.93%;12;1.39%;47;5.46%;;;;;;;;;30;3.48%
Parlament;2010;1;8;1652;1230;18;10;1202;75.54;69;5.61%;715;58.13%;85;6.91%;115;9.35%;66;5.37%;23;1.87%;;;;;6;0.49%;18;1.46%;71;5.77%;;;;;;;;;34;2.76%
Parlament;2010;1;9;849;613;15;2;596;73.97;23;3.75%;340;55.46%;50;8.16%;47;7.67%;56;9.14%;9;1.47%;;;;;4;0.65%;17;2.77%;39;6.36%;;;;;;;;;11;1.79%
Parlament;2010;1;10;918;664;19;1;644;74.4;69;10.39%;330;49.70%;76;11.45%;35;5.27%;50;7.53%;18;2.71%;;;;;6;0.90%;19;2.86%;25;3.77%;;;;;;;;;16;2.41%
Parlament;2010;1;11;926;557;27;3;527;63.07;118;21.18%;215;38.60%;30;5.39%;48;8.62%;36;6.46%;36;6.46%;;;;;7;1.26%;3;0.54%;18;3.23%;;;;;;;;;16;2.87%
Parlament;2010;1;12;1062;643;19;5;619;62.34;93;14.46%;253;39.35%;64;9.95%;57;8.86%;71;11.04%;27;4.20%;;;;;12;1.87%;5;0.78%;21;3.27%;;;;;;;;;16;2.49%
