Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;Cs;% Cs;ERC;% ERC;ICV;% ICV;PP;% PP;PACMA;% PACMA;Partido X;% Partido X;Podemos;% Podemos;PSC;% PSC;UPyD;% UPyD;VOX;% VOX;Altres;% Altres
3;4;927;354;9;2;343;38.19%;25;7.10%;32;9.09%;50;14.20%;42;11.93%;41;11.65%;5;1.42%;8;2.27%;25;7.10%;86;24.43%;2;0.57%;0;0.00%;27;7.67%
3;5;1481;706;12;4;690;47.67%;165;23.50%;39;5.56%;184;26.21%;77;10.97%;25;3.56%;13;1.85%;7;1.00%;43;6.13%;100;14.25%;6;0.85%;0;0.00%;31;4.42%
3;6;1406;735;15;1;719;52.28%;174;23.71%;37;5.04%;241;32.83%;36;4.90%;44;5.99%;10;1.36%;13;1.77%;43;5.86%;60;8.17%;10;1.36%;0;0.00%;51;6.95%
3;7;1587;783;10;8;765;49.34%;188;24.26%;46;5.94%;199;25.68%;97;12.52%;44;5.68%;11;1.42%;11;1.42%;32;4.13%;82;10.58%;15;1.94%;1;0.13%;39;5.03%
3;8;1575;613;6;5;602;38.92%;27;4.44%;59;9.70%;49;8.06%;64;10.53%;60;9.87%;3;0.49%;11;1.81%;51;8.39%;224;36.84%;5;0.82%;3;0.49%;46;7.57%
3;9;1902;941;11;9;921;49.47%;166;17.81%;86;9.23%;164;17.60%;140;15.02%;58;6.22%;20;2.15%;9;0.97%;84;9.01%;131;14.06%;11;1.18%;6;0.64%;46;4.94%
3;10;1548;585;9;6;570;37.79%;26;4.49%;74;12.78%;37;6.39%;59;10.19%;42;7.25%;8;1.38%;19;3.28%;58;10.02%;201;34.72%;16;2.76%;1;0.17%;29;5.01%
3;11;1134;331;7;0;324;29.19%;6;1.81%;37;11.18%;28;8.46%;33;9.97%;25;7.55%;4;1.21%;11;3.32%;25;7.55%;120;36.25%;6;1.81%;4;1.21%;25;7.55%
3;12;1747;683;22;13;648;39.10%;41;6.12%;87;12.99%;61;9.10%;74;11.04%;121;18.06%;4;0.60%;14;2.09%;32;4.78%;175;26.12%;9;1.34%;4;0.60%;26;3.88%
3;14;1100;403;5;2;396;36.64%;21;5.24%;21;5.24%;76;18.95%;42;10.47%;57;14.21%;7;1.75%;9;2.24%;23;5.74%;104;25.94%;6;1.50%;1;0.25%;29;7.23%
