Elecció;Any;Participació;PP;PSC;% UNIO.CAT;% JxSí;% CUP;% PSC;PACMA;UNIO.CAT;JxSí;% CSQP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CSQP;Cs;VOTS_CANDIDATURES;VOTS_NULS;Districte;NUM_ELECTORS;% PP;Secció;CUP;Altres;% Altres
Parlament;2015;78.31;59;144;2.72;38.19;7.39;13.99;7;28;393;11.08;0.68;19.14;1026;3;114;197;1020;3;3;1314;5.73;1;76;2;0.20%
Parlament;2015;83.57;48;41;5.23;63.51;8.06;5.8;2;37;449;1.98;0.28;7.07;703;4;14;50;698;1;4;846;6.79;15;57;0;0.00%
Parlament;2015;71.85;55;133;1.78;20.1;7;16.92;7;14;158;17.18;0.89;26.97;784;2;135;212;780;2;6;1094;7;5;55;11;1.41%
Parlament;2015;74.77;99;186;1.55;16.25;4.74;17.99;12;16;168;15.28;1.16;30.56;1025;9;158;316;1014;2;6;1383;9.57;25;49;10;0.99%
Parlament;2015;68.81;62;154;1.62;13.85;2.88;27.7;6;9;77;10.79;1.08;28.78;553;3;60;160;549;1;2;808;11.15;3;16;5;0.91%
Parlament;2015;81.54;56;112;1.54;42.09;8.79;12.31;7;14;383;9.34;0.77;17.58;907;3;85;160;901;3;4;1116;6.15;4;80;4;0.44%
Parlament;2015;70.7;59;84;1.23;13.05;4.41;14.81;5;7;74;18.34;0.88;35.1;565;2;104;199;561;2;2;802;10.41;11;25;4;0.71%
Parlament;2015;80.61;46;131;1.99;12.6;2.65;21.72;8;12;76;17.25;1.33;30.18;596;7;104;182;586;3;3;748;7.63;18;16;11;1.88%
Parlament;2015;82.73;36;48;3.61;62.51;9.62;5.25;2;33;572;4.04;0.22;9.4;912;3;37;86;905;4;4;1106;3.93;2;88;3;0.33%
Parlament;2015;86.85;39;34;3.43;69.5;7.85;3.76;2;31;629;1.88;0.22;8.18;902;3;17;74;898;1;1;1042;4.31;1;71;1;0.11%
Parlament;2015;71.88;100;343;1.51;11.91;4.09;30.49;13;17;134;16.36;1.16;23.2;1120;5;184;261;1108;7;3;1565;8.89;8;46;10;0.90%
Parlament;2015;74.86;53;81;1.95;28.79;7.8;12.14;3;13;192;14.09;0.45;25.04;664;3;94;167;659;2;4;891;7.95;19;52;4;0.61%
Parlament;2015;77.95;22;86;2.41;29.82;6.36;18.86;5;11;136;8.77;1.1;25;454;2;40;114;450;2;5;585;4.82;12;29;7;1.56%
Parlament;2015;72.42;110;235;1.54;24.36;5.8;17.24;26;21;332;12.4;1.91;27.29;1359;4;169;372;1351;4;4;1882;8.07;7;79;7;0.52%
Parlament;2015;84;66;116;1.65;61.03;8.74;8.31;3;23;852;5.3;0.21;8.88;1390;6;74;124;1383;1;1;1662;4.73;17;122;3;0.22%
Parlament;2015;72.04;59;137;2.9;12.02;4.42;18.92;4;21;87;15.33;0.55;35.64;720;4;111;258;714;2;6;1005;8.15;23;32;5;0.70%
Parlament;2015;70.49;36;105;3.06;14.72;7.46;20.08;3;16;77;16.06;0.57;29.83;522;1;84;156;518;3;6;742;6.88;31;39;2;0.39%
Parlament;2015;71.12;77;235;1.81;19.73;6.2;22.4;8;19;207;13.25;0.76;25.26;1044;5;139;265;1031;8;5;1475;7.34;15;65;16;1.55%
Parlament;2015;82.54;48;22;4.11;63.92;10.81;2.59;2;35;544;2.82;0.24;8.7;848;3;24;74;843;2;1;1031;5.64;9;92;2;0.24%
Parlament;2015;72.8;63;98;1.32;19.06;4.91;18.49;6;7;101;13.02;1.13;27.55;526;4;69;146;519;3;2;728;11.89;6;26;3;0.58%
Parlament;2015;81.52;60;103;2.82;43.26;9.09;10.76;5;27;414;8.99;0.52;16.93;954;3;86;162;946;5;5;1174;6.27;4;87;2;0.21%
Parlament;2015;79.89;83;209;2.58;30.66;8.52;13.49;24;40;475;13.04;1.55;22.85;1539;10;202;354;1524;5;3;1939;5.36;9;132;5;0.33%
Parlament;2015;83.15;82;158;1.88;50.19;8.31;10.26;17;29;773;5.97;1.1;14.87;1529;11;92;229;1514;4;1;1852;5.32;16;128;6;0.40%
Parlament;2015;85.98;54;61;2.6;55.76;8.62;6.33;7;25;537;7.58;0.73;11.84;960;3;73;114;957;0;4;1120;5.61;17;83;3;0.31%
Parlament;2015;79.85;29;58;0.93;15.74;5.09;13.43;6;4;68;16.2;1.39;36.81;426;6;70;159;419;1;6;541;6.71;32;22;3;0.72%
Parlament;2015;83.83;84;182;1.67;34.54;7.14;16.04;5;19;392;11.45;0.44;20.18;1131;4;130;229;1125;2;5;1354;7.4;9;81;3;0.27%
Parlament;2015;72.45;101;184;2.2;18.76;3.88;23.8;7;17;145;12.94;0.91;22.51;768;5;100;174;760;3;2;1067;13.07;1;30;2;0.26%
Parlament;2015;75.61;43;114;1.98;40.19;8.35;11.9;8;19;385;10.33;0.84;19.31;949;9;99;185;939;1;4;1267;4.49;5;80;6;0.64%
Parlament;2015;76.45;49;108;1.24;24.72;5.94;14.92;11;9;179;14.5;1.52;27.35;718;6;105;198;709;3;4;947;6.77;8;43;7;0.99%
Parlament;2015;84.24;64;51;2.75;58.88;8.46;5.39;7;26;557;5.5;0.74;9.83;941;5;52;93;933;3;4;1123;6.77;1;80;3;0.32%
Parlament;2015;57.83;41;59;1.39;14.93;4.51;20.49;6;4;43;15.28;2.08;24.31;287;1;44;70;282;4;2;498;14.24;2;13;2;0.71%
Parlament;2015;78.97;59;149;2.23;42.6;11.25;12.32;18;27;515;8.35;1.49;15.05;1202;7;101;182;1193;2;3;1531;4.88;5;136;6;0.50%
Parlament;2015;80.84;68;127;2.25;46.63;8.74;10.99;5;26;539;8.13;0.43;14.97;1148;8;94;173;1136;4;5;1430;5.88;8;101;3;0.26%
Parlament;2015;78.35;90;152;2.09;17.34;4.43;19.82;9;16;133;16.43;1.17;24.51;760;7;126;188;750;3;5;979;11.73;18;34;2;0.27%
Parlament;2015;67.36;58;123;2.07;14.7;5.38;25.47;4;10;71;13.04;0.83;23.4;478;5;63;113;473;0;6;717;12.01;14;26;5;1.06%
Parlament;2015;68.18;63;153;0.66;9.63;2.82;25.42;6;4;58;14.29;1;33.89;599;3;86;204;594;2;3;883;10.47;17;17;3;0.51%
Parlament;2015;71.76;77;178;2.34;16.36;4.55;23.12;8;18;126;15.32;1.04;24.16;764;6;118;186;755;3;2;1073;10;9;35;9;1.19%
Parlament;2015;80.17;71;189;1.15;13.63;5.24;19.81;7;11;130;18.24;0.73;32.29;950;4;174;308;944;2;6;1190;7.44;28;50;4;0.42%
Parlament;2015;80.63;76;198;1.31;21.98;5.39;16.18;12;16;269;15.93;0.98;28.27;1211;13;195;346;1191;7;4;1518;6.21;23;66;13;1.09%
Parlament;2015;85.43;47;47;3.29;57.29;11.29;5.53;1;28;487;5.41;0.12;10.71;848;2;46;91;844;2;1;995;5.53;5;96;1;0.12%
Parlament;2015;79.68;30;102;1.61;22.09;4.42;20.48;1;8;110;10.64;0.2;30.72;491;7;53;153;483;1;1;625;6.02;13;22;4;0.83%
Parlament;2015;86.86;28;58;3.39;58.6;9.69;7.02;4;28;484;5.69;0.48;9.81;820;6;47;81;814;0;1;951;3.39;10;80;4;0.49%
Parlament;2015;72.05;56;202;0.86;11.7;1.85;28.82;10;6;82;13.12;1.43;31.38;695;6;92;220;686;3;6;973;7.99;27;13;5;0.73%
Parlament;2015;69.09;67;165;1.27;13.69;3.66;26.27;5;8;86;10.83;0.8;30.41;624;4;68;191;615;5;3;909;10.67;19;23;2;0.33%
Parlament;2015;76.79;177;255;1.49;13.85;3.95;18.99;10;20;186;12.06;0.74;33.28;1334;9;162;447;1317;8;3;1749;13.18;12;53;7;0.53%
Parlament;2015;80.15;61;117;1.74;33.37;6.86;13.6;9;15;287;12.33;1.05;22.21;855;5;106;191;849;1;3;1073;7.09;2;59;4;0.47%
Parlament;2015;68.26;79;176;0.48;11.59;3.02;27.94;4;3;73;14.29;0.63;26.83;627;3;90;169;621;3;6;923;12.54;18;19;8;1.29%
Parlament;2015;81.27;91;150;2.91;34.03;6.71;12.13;12;36;421;9.62;0.97;24.98;1234;3;119;309;1230;1;5;1522;7.36;1;83;9;0.73%
Parlament;2015;81.09;42;103;2.69;25.03;5.98;12.58;14;22;205;13.92;1.71;30.89;813;6;114;253;805;2;6;1010;5.13;33;49;3;0.37%
Parlament;2015;81.3;60;100;1.71;40.66;7.97;11.39;11;15;357;7.4;1.25;20.39;869;9;65;179;858;2;1;1080;6.83;21;70;1;0.12%
Parlament;2015;81.96;40;107;3.19;41.26;11.42;11.01;7;31;401;9.77;0.72;16.67;966;6;95;162;957;3;5;1186;4.12;20;111;3;0.31%
Parlament;2015;75.78;103;155;1.22;20.82;6.88;13.5;15;14;239;13.94;1.31;31.45;1142;6;160;361;1133;3;4;1515;8.97;24;79;7;0.62%
Parlament;2015;79.41;75;176;2.55;34.13;8.44;13.62;5;33;441;11.38;0.39;21.21;1280;12;147;274;1265;3;6;1627;5.8;8;109;5;0.40%
Parlament;2015;77.26;47;103;0.84;12.04;6.35;17.22;7;5;72;16.39;1.17;36.79;597;1;98;220;596;0;6;774;7.86;29;38;6;1.01%
Parlament;2015;89.61;58;85;3.16;46.96;9.72;9.95;5;27;401;5.04;0.59;16.28;852;2;43;139;845;5;1;953;6.79;23;83;4;0.47%
Parlament;2015;78.79;87;246;1.29;19.32;7.03;19.89;9;16;239;13.58;0.73;29.99;1236;1;168;371;1225;10;6;1570;7.03;10;87;2;0.16%
Parlament;2015;81.94;50;93;2.57;48.3;10.2;9.58;9;25;469;9.68;0.93;12.87;970;1;94;125;966;3;4;1185;5.15;13;99;2;0.21%
