Districte;Secció;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona ;Bruta - Neta Hogar;Bruta - Neta Persona;Presión fiscal Hogar;Presión fiscal Persona;CDIS;CSEC;Pressió H;Pressió P
1;1;71.699;31.312;52.686;23.009;19.013;8.303;26.52%;26.52%;1;1;0.2652;0.2652
1;2;69.945;26.784;52.125;19.960;17.820;6.824;25.48%;25.48%;1;2;0.2548;0.2548
1;4;63.537;25.214;49.277;19.555;14.260;5.659;22.44%;22.44%;1;4;0.2244;0.2244
1;5;67.404;25.227;51.633;19.325;15.771;5.902;23.40%;23.40%;1;5;0.2340;0.234
1;6;62.922;24.939;48.760;19.326;14.162;5.613;22.51%;22.51%;1;6;0.2251;0.2251
1;7;61.817;25.705;47.527;19.763;14.290;5.942;23.12%;23.12%;1;7;0.2312;0.2312
1;8;69.061;26.738;51.139;19.800;17.922;6.938;25.95%;25.95%;1;8;0.2595;0.2595
1;9;71.021;26.188;53.310;19.657;17.711;6.531;24.94%;24.94%;1;9;0.2494;0.2494
1;10;67.124;26.165;50.390;19.642;16.734;6.523;24.93%;24.93%;1;10;0.2493;0.2493
1;11;42.851;16.588;35.220;13.634;7.631;2.954;17.81%;17.81%;1;11;0.1781;0.1781
1;12;43.048;18.789;34.781;15.181;8.267;3.608;19.20%;19.20%;1;12;0.1920;0.192
1;13;36.866;13.997;31.192;11.843;5.674;2.154;15.39%;15.39%;1;13;0.1539;0.1539
1;14;41.439;15.643;34.896;13.173;6.543;2.470;15.79%;15.79%;1;14;0.1579;0.1579
1;15;47.334;17.799;38.806;14.592;8.528;3.207;18.02%;18.02%;1;15;0.1802;0.1802
1;16;49.555;20.366;39.787;16.351;9.768;4.015;19.71%;19.71%;1;16;0.1971;0.1971
1;17;59.077;21.768;47.432;17.477;11.645;4.291;19.71%;19.71%;1;17;0.1971;0.1971
1;18;62.236;22.575;48.498;17.592;13.738;4.983;22.07%;22.07%;1;18;0.2207;0.2207
1;19;41.669;17.449;34.158;14.303;7.511;3.146;18.03%;18.03%;1;19;0.1803;0.1803
1;20;60.170;24.825;46.664;19.253;13.506;5.572;22.45%;22.45%;1;20;0.2245;0.2245
1;21;47.861;19.066;38.744;15.434;9.117;3.632;19.05%;19.05%;1;21;0.1905;0.1905
1;22;52.847;20.727;42.113;16.517;10.734;4.210;20.31%;20.31%;1;22;0.2031;0.2031
1;23;62.938;24.860;48.808;19.279;14.130;5.581;22.45%;22.45%;1;23;0.2245;0.2245
1;24;73.037;28.912;53.417;21.146;19.620;7.766;26.86%;26.86%;1;24;0.2686;0.2686
2;1;33.955;12.423;29.190;10.680;4.765;1.743;14.03%;14.03%;2;1;0.1403;0.1403
2;2;35.056;7.655;31.560;6.891;3.496;764;9.97%;9.98%;2;2;0.0997;0.0998
2;3;37.058;8.988;33.247;8.064;3.811;924;10.28%;10.28%;2;3;0.1028;0.1028
2;4;40.632;9.217;36.414;8.260;4.218;957;10.38%;10.38%;2;4;0.1038;0.1038
2;5;30.926;11.221;27.192;9.867;3.734;1.354;12.07%;12.07%;2;5;0.1207;0.1207
2;6;36.851;12.264;31.773;10.574;5.078;1.690;13.78%;13.78%;2;6;0.1378;0.1378
2;8;33.792;12.118;29.106;10.437;4.686;1.681;13.87%;13.87%;2;8;0.1387;0.1387
2;9;33.917;11.505;29.424;9.980;4.493;1.525;13.25%;13.26%;2;9;0.1325;0.1326
2;11;33.636;12.825;28.753;10.963;4.883;1.862;14.52%;14.52%;2;11;0.1452;0.1452
2;12;24.304;7.915;21.842;7.113;2.462;802;10.13%;10.13%;2;12;0.1013;0.1013
2;14;41.554;16.215;34.491;13.459;7.063;2.756;17.00%;17.00%;2;14;0.1700;0.17
2;15;23.103;8.260;21.177;7.572;1.926;688;8.34%;8.33%;2;15;0.0834;0.0833
2;16;46.881;17.234;38.218;14.049;8.663;3.185;18.48%;18.48%;2;16;0.1848;0.1848
2;17;30.570;12.377;26.380;10.681;4.190;1.696;13.71%;13.70%;2;17;0.1371;0.137
3;1;41.622;16.243;34.503;13.465;7.119;2.778;17.10%;17.10%;3;1;0.1710;0.171
3;2;44.839;16.830;36.913;13.855;7.926;2.975;17.68%;17.68%;3;2;0.1768;0.1768
3;3;34.396;13.726;29.447;11.751;4.949;1.975;14.39%;14.39%;3;3;0.1439;0.1439
