Elecció;Any;% PxC;Participació;PP;PSC;% ICV;% CUP;% PSC;PACMA;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CiU;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;% CiU;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;PxC;% PP;ICV;Secció;CUP;Altres;% Altres
Parlament;2012;2.22;73.23;111;237;10.94;1.39;32.83;7;0.97;11.77;708;14;85;85;692;706;11.77;2;40;5;986;5.54;16;15.37;79;18;10;22;3.18%
Parlament;2012;2.61;74.69;111;265;10.36;2.13;25.65;7;0.68;9.2;1021;12;225;95;1002;1014;21.78;7;110;5;1383;10.65;27;10.75;107;21;22;33;3.29%
Parlament;2012;1.93;73.4;81;173;10.75;1.93;20.89;3;0.36;12.32;815;13;211;102;791;804;25.48;11;85;5;1128;10.27;16;9.78;89;24;16;15;1.90%
Parlament;2012;4.46;55.4;103;238;10.45;1.67;33.15;3;0.42;10.58;708;10;66;76;692;702;9.19;6;49;6;1296;6.82;32;14.35;75;11;12;38;5.49%
Parlament;2012;1.52;76.59;92;134;8.67;2.86;12.76;3;0.29;6.19;1040;10;387;65;1022;1032;36.86;8;167;3;1371;15.9;16;8.76;91;6;30;37;3.62%
Parlament;2012;1.23;75;55;162;9.06;2.24;18.12;5;0.56;4.92;882;12;295;44;859;871;33;11;149;4;1192;16.67;11;6.15;81;13;20;37;4.31%
Parlament;2012;6.63;59.88;40;198;9.78;1.99;32.84;11;1.82;14.26;588;15;60;86;566;581;9.95;7;43;2;1007;7.13;40;6.63;59;17;12;17;3.00%
Parlament;2012;0.48;77.26;81;33;4.67;3.71;3.95;2;0.24;2.99;826;10;416;25;815;825;49.76;1;164;1;1082;19.62;4;9.69;39;2;31;20;2.45%
Parlament;2012;5;62.5;48;118;5.67;0.67;39.33;2;0.67;7.67;294;6;22;23;287;293;7.33;1;28;2;480;9.33;15;16;17;3;2;12;4.18%
Parlament;2012;1.88;75.99;92;159;10.85;2.82;13.58;9;0.77;7.09;1161;10;388;83;1139;1149;33.13;12;182;3;1541;15.54;22;7.86;127;7;33;44;3.86%
Parlament;2012;4.7;59.85;39;158;14.32;2.35;33.76;0;0;10.9;455;13;40;51;441;454;8.55;1;36;6;782;7.69;22;8.33;67;31;11;17;3.85%
Parlament;2012;1.32;70.8;63;119;12.12;3.43;15.68;4;0.53;7.38;751;8;221;56;740;748;29.12;3;118;1;1072;15.55;10;8.3;92;12;26;31;4.19%
Parlament;2012;5.32;62.43;85;151;8.44;1.1;27.71;7;1.28;11.56;536;9;76;63;524;533;13.94;3;41;6;873;7.52;29;15.6;46;4;6;20;3.82%
Parlament;2012;0.82;82.34;110;46;5.57;2.47;4.74;0;0;3.51;964;6;489;34;955;961;50.41;3;162;1;1178;16.7;8;11.34;54;6;24;28;2.93%
Parlament;2012;4.79;69.13;58;171;17.43;0.65;37.25;3;0.65;10.68;456;3;29;49;450;453;6.32;3;23;6;664;5.01;22;12.64;80;13;3;12;2.67%
Parlament;2012;1.43;73.79;61;161;10.56;2.14;22.97;9;1.28;5.56;690;11;177;39;675;686;25.25;4;106;1;950;15.12;10;8.7;74;15;15;23;3.41%
Parlament;2012;2.18;71.1;120;214;10.07;1.99;20.32;6;0.57;10.92;1038;15;253;115;1012;1027;24.03;11;119;5;1481;11.3;23;11.4;106;1;21;35;3.46%
Parlament;2012;2.18;75.52;81;126;7.97;1.31;13.76;5;0.55;3.82;904;12;343;35;888;900;37.45;4;153;4;1213;16.7;20;8.84;73;3;12;40;4.50%
Parlament;2012;0.77;77.27;79;128;10.32;1.94;16.52;2;0.26;7.23;767;8;243;56;753;761;31.35;6;126;5;1003;16.26;6;10.19;80;26;15;18;2.39%
Parlament;2012;8.1;63.88;71;254;12.98;1.67;32.65;7;0.9;10.54;765;13;83;82;747;760;10.67;5;33;6;1218;4.24;63;9.13;101;26;13;40;5.35%
Parlament;2012;0.99;81.71;46;87;10.06;4.67;12.32;3;0.42;7.51;699;7;243;53;692;699;34.42;0;116;5;864;16.43;7;6.52;71;7;33;33;4.77%
Parlament;2012;1.59;78.96;111;185;11.56;3.17;20.98;4;0.45;7.37;866;16;183;65;849;865;20.75;1;116;1;1117;13.15;14;12.59;102;19;28;41;4.83%
Parlament;2012;2.3;63.64;68;208;9.52;0.33;34.15;6;0.99;4.93;603;6;67;30;589;595;11;8;19;6;957;3.12;14;11.17;58;23;2;117;19.86%
