Elecció;Any;CDIS;CSEC;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Comuns Sumar;% Comuns Sumar;Cs;% Cs;ERC;% ERC;Junts;% Junts;PACMA;% PACMA;Podemos;% Podemos;PP;% PP;PSC;% PSC;SALF;% SALF;VOX;% VOX;Altres;% Altres
Europees;2024;01;023;0827901023;1;23;1013;579;4;4;571;57.16%;27;4.70%;2;0.35%;89;15.48%;124;21.57%;8;1.39%;22;3.83%;74;12.87%;155;26.96%;14;2.43%;48;8.35%;8;1.40%
Europees;2024;01;024;0827901024;1;24;675;388;3;3;382;57.48%;21;5.45%;2;0.52%;61;15.84%;168;43.64%;4;1.04%;11;2.86%;40;10.39%;54;14.03%;6;1.56%;6;1.56%;9;2.36%
Europees;2024;01;025;0827901025;1;25;1083;545;4;0;541;50.32%;24;4.40%;2;0.37%;85;15.60%;189;34.68%;10;1.83%;28;5.14%;71;13.03%;106;19.45%;6;1.10%;15;2.75%;5;0.92%
Europees;2024;02;001;0827902001;2;1;1098;435;2;2;431;39.62%;8;1.85%;2;0.46%;33;7.62%;22;5.08%;5;1.15%;13;3.00%;74;17.09%;206;47.58%;14;3.23%;44;10.16%;10;2.32%
Europees;2024;02;003;0827902003;2;3;982;281;7;1;273;28.62%;10;3.57%;3;1.07%;12;4.29%;6;2.14%;1;0.36%;6;2.14%;45;16.07%;139;49.64%;1;0.36%;46;16.43%;4;1.47%
Europees;2024;02;004;0827902004;2;4;865;264;1;1;262;30.52%;11;4.18%;0;0.00%;18;6.84%;13;4.94%;4;1.52%;10;3.80%;44;16.73%;129;49.05%;5;1.90%;22;8.37%;6;2.29%
Europees;2024;02;005;0827902005;2;5;848;329;4;0;325;38.80%;8;2.43%;1;0.30%;14;4.26%;8;2.43%;5;1.52%;20;6.08%;60;18.24%;152;46.20%;13;3.95%;39;11.85%;5;1.54%
Europees;2024;02;006;0827902006;2;6;733;280;0;0;280;38.20%;10;3.57%;0;0.00%;12;4.29%;24;8.57%;3;1.07%;17;6.07%;45;16.07%;117;41.79%;11;3.93%;34;12.14%;7;2.50%
Europees;2024;02;008;0827902008;2;8;793;237;2;1;234;29.89%;14;5.93%;1;0.42%;26;11.02%;8;3.39%;3;1.27%;6;2.54%;39;16.53%;100;42.37%;9;3.81%;25;10.59%;3;1.28%
Europees;2024;02;009;0827902009;2;9;1150;391;2;1;388;34.00%;14;3.59%;3;0.77%;34;8.72%;12;3.08%;4;1.03%;20;5.13%;52;13.33%;171;43.85%;19;4.87%;47;12.05%;12;3.09%
Europees;2024;02;011;0827902011;2;11;855;300;0;0;300;35.09%;8;2.67%;7;2.33%;23;7.67%;10;3.33%;0;0.00%;13;4.33%;44;14.67%;120;40.00%;14;4.67%;54;18.00%;7;2.33%
Europees;2024;02;012;0827902012;2;12;695;175;3;0;172;25.18%;7;4.00%;0;0.00%;6;3.43%;4;2.29%;1;0.57%;2;1.14%;19;10.86%;89;50.86%;7;4.00%;30;17.14%;7;4.07%
Europees;2024;02;014;0827902014;2;14;1505;495;6;2;487;32.89%;21;4.26%;7;1.42%;40;8.11%;23;4.67%;8;1.62%;25;5.07%;69;14.00%;175;35.50%;38;7.71%;63;12.78%;18;3.70%
