Elecció;Any;Districte;Secció;Participació;PP;PSC;% UNIO.CAT;% JxSí;% CUP;% PSC;PACMA;UNIO.CAT;JxSí;% CSQP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CSQP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;NUM_ELECTORS;% PP;CUP;Altres;% Altres
Parlament;2015;3;10;75.11;100;307;0.52;8.81;2.53;26.77;11;6;101;15.34;0.96;33.74;1142;5;176;387;1126;1131;11;1527;8.72;29;9;0.80%
Parlament;2015;3;11;61.55;51;173;1.41;11.14;2.68;24.4;9;10;79;12.41;1.27;36.67;703;6;88;260;693;699;4;1152;7.19;19;4;0.58%
Parlament;2015;3;12;76.79;177;255;1.49;13.85;3.95;18.99;10;20;186;12.06;0.74;33.28;1334;9;162;447;1317;1326;8;1749;13.18;53;7;0.53%
Parlament;2015;3;14;66.31;91;159;2.04;22.15;6.39;21.6;5;15;163;9.51;0.68;23.78;736;0;70;175;731;731;5;1110;12.36;47;6;0.82%
Parlament;2015;3;15;77.85;67;150;1.22;24.93;5.83;20.33;12;9;184;11.79;1.63;23.58;738;0;87;174;730;730;8;948;9.08;43;4;0.55%
Parlament;2015;3;16;69.97;56;130;1.55;7.3;3.1;28.76;4;7;33;14.16;0.88;28.54;448;4;64;129;443;447;1;646;12.39;14;6;1.35%
Parlament;2015;3;17;68.18;63;153;0.66;9.63;2.82;25.42;6;4;58;14.29;1;33.89;599;3;86;204;594;597;2;883;10.47;17;3;0.51%
Parlament;2015;3;18;80.61;46;131;1.99;12.6;2.65;21.72;8;12;76;17.25;1.33;30.18;596;7;104;182;586;593;3;748;7.63;16;11;1.88%
Parlament;2015;3;19;69.09;67;165;1.27;13.69;3.66;26.27;5;8;86;10.83;0.8;30.41;624;4;68;191;615;619;5;909;10.67;23;2;0.33%
Parlament;2015;3;20;74.98;62;143;2.25;29.65;6.54;16.12;10;20;263;13.75;1.13;20.74;880;7;122;184;869;876;4;1183;6.99;58;7;0.81%
Parlament;2015;4;1;84.24;64;51;2.75;58.88;8.46;5.39;7;26;557;5.5;0.74;9.83;941;5;52;93;933;938;3;1123;6.77;80;3;0.32%
Parlament;2015;4;2;82.73;36;48;3.61;62.51;9.62;5.25;2;33;572;4.04;0.22;9.4;912;3;37;86;905;908;4;1106;3.93;88;3;0.33%
Parlament;2015;4;3;79.68;59;98;2.85;50.81;9.65;9.96;11;28;500;7.32;1.12;10.16;977;7;72;100;966;973;4;1235;6;95;3;0.31%
Parlament;2015;4;4;81.54;56;112;1.54;42.09;8.79;12.31;7;14;383;9.34;0.77;17.58;907;3;85;160;901;904;3;1116;6.15;80;4;0.44%
Parlament;2015;4;5;75.61;43;114;1.98;40.19;8.35;11.9;8;19;385;10.33;0.84;19.31;949;9;99;185;939;948;1;1267;4.49;80;6;0.64%
Parlament;2015;4;6;77.85;94;176;1.46;25.71;7.78;16.1;10;16;281;12.35;0.91;25.07;1087;6;135;274;1077;1083;4;1404;8.6;85;6;0.56%
Parlament;2015;4;7;72.42;110;235;1.54;24.36;5.8;17.24;26;21;332;12.4;1.91;27.29;1359;4;169;372;1351;1355;4;1882;8.07;79;7;0.52%
Parlament;2015;4;8;76.45;49;108;1.24;24.72;5.94;14.92;11;9;179;14.5;1.52;27.35;718;6;105;198;709;715;3;947;6.77;43;7;0.99%
Parlament;2015;4;9;73.66;68;109;0.91;16.06;2.37;19.89;8;5;88;14.23;1.46;29.01;545;3;78;159;539;542;3;744;12.41;13;11;2.04%
Parlament;2015;4;10;66.08;48;128;1.03;17.32;4.54;26.39;1;5;84;16.08;0.21;22.47;483;2;78;109;480;482;1;734;9.9;22;5;1.04%
Parlament;2015;4;12;79.19;68;101;2.04;34.44;10.84;12.88;7;16;270;11.73;0.89;17.35;782;2;92;136;778;780;2;990;8.67;85;3;0.39%
Parlament;2015;4;13;81.94;50;93;2.57;48.3;10.2;9.58;9;25;469;9.68;0.93;12.87;970;1;94;125;966;967;3;1185;5.15;99;2;0.21%
Parlament;2015;4;14;87.9;45;51;4.27;60.5;7.83;6.05;2;36;510;3.32;0.24;11.39;839;4;28;96;834;838;1;959;5.34;66;0;0.00%
Parlament;2015;4;15;83.57;48;41;5.23;63.51;8.06;5.8;2;37;449;1.98;0.28;7.07;703;4;14;50;698;702;1;846;6.79;57;0;0.00%
Parlament;2015;4;16;84.04;53;33;5.16;58.11;10.69;4.15;4;41;462;4.65;0.5;8.68;791;4;37;69;785;789;2;946;6.67;85;1;0.13%
Parlament;2015;4;17;85.98;54;61;2.6;55.76;8.62;6.33;7;25;537;7.58;0.73;11.84;960;3;73;114;957;960;0;1120;5.61;83;3;0.31%
Parlament;2015;4;18;81.11;92;173;1.93;43.98;8.25;11.51;16;29;661;8.32;1.06;17.43;1498;5;125;262;1488;1493;5;1853;6.12;124;6;0.40%
Parlament;2015;4;19;74.86;53;81;1.95;28.79;7.8;12.14;3;13;192;14.09;0.45;25.04;664;3;94;167;659;662;2;891;7.95;52;4;0.61%
Parlament;2015;4;20;63.14;35;117;0.58;9.25;3.76;33.82;3;2;32;10.4;0.87;26.59;342;4;36;92;337;341;1;548;10.12;13;7;2.08%
Parlament;2015;4;21;71.48;63;118;0.91;16.94;6.38;21.49;7;5;93;14.39;1.28;25.68;546;3;79;141;543;546;0;768;11.48;35;2;0.37%
Parlament;2015;4;22;78.87;77;196;1.86;21.79;4.28;15.82;19;23;270;13.32;1.53;33.09;1233;6;165;410;1223;1229;4;1571;6.21;53;10;0.82%
Parlament;2015;4;23;80.63;76;198;1.31;21.98;5.39;16.18;12;16;269;15.93;0.98;28.27;1211;13;195;346;1191;1204;7;1518;6.21;66;13;1.09%
Parlament;2015;4;24;75.78;103;155;1.22;20.82;6.88;13.5;15;14;239;13.94;1.31;31.45;1142;6;160;361;1133;1139;3;1515;8.97;79;7;0.62%
Parlament;2015;4;25;74.77;64;102;1.81;32.98;5.72;15.36;6;12;219;13.7;0.9;19.13;662;2;91;127;660;662;0;888;9.64;38;1;0.15%
Parlament;2015;4;26;81.3;43;59;3.42;58.96;9.43;6.96;5;29;500;3.66;0.59;10.5;843;5;31;89;836;841;2;1043;5.07;80;0;0.00%
Parlament;2015;5;1;81.27;91;150;2.91;34.03;6.71;12.13;12;36;421;9.62;0.97;24.98;1234;3;119;309;1230;1233;1;1522;7.36;83;9;0.73%
Parlament;2015;5;2;74.33;99;173;1.2;14.08;5.42;20.82;13;10;117;15.4;1.56;27.8;831;0;128;231;823;823;8;1118;11.91;45;7;0.85%
Parlament;2015;5;3;78.38;84;102;1.8;46.05;6.7;8.76;17;21;536;9.11;1.46;17.53;1160;4;106;204;1152;1156;4;1485;7.22;78;4;0.35%
Parlament;2015;5;4;81.52;60;103;2.82;43.26;9.09;10.76;5;27;414;8.99;0.52;16.93;954;3;86;162;946;949;5;1174;6.27;87;2;0.21%
Parlament;2015;5;5;77.99;28;67;2.97;45.54;9.9;11.06;6;18;276;9.74;0.99;14.19;604;2;59;86;602;604;0;777;4.62;60;2;0.33%
Parlament;2015;5;6;81.97;55;126;2.67;51.3;7.38;9.9;11;34;653;7.23;0.86;15.16;1268;5;92;193;1260;1265;3;1553;4.32;94;2;0.16%
Parlament;2015;5;7;84.71;19;67;3.74;50.4;11.36;8.96;0;28;377;7.35;0;14.04;744;4;55;105;738;742;2;883;2.54;85;2;0.27%
Parlament;2015;5;8;80.84;68;127;2.25;46.63;8.74;10.99;5;26;539;8.13;0.43;14.97;1148;8;94;173;1136;1144;4;1430;5.88;101;3;0.26%
Parlament;2015;5;9;83.83;84;182;1.67;34.54;7.14;16.04;5;19;392;11.45;0.44;20.18;1131;4;130;229;1125;1129;2;1354;7.4;81;3;0.27%
Parlament;2015;5;10;74.34;116;268;0.75;15.81;3.27;25.07;13;8;169;13.56;1.22;28.06;1066;3;145;300;1061;1064;2;1438;10.85;35;7;0.66%
Parlament;2015;5;11;81.17;98;169;3.28;31.76;7.9;14.2;6;39;378;10.25;0.5;22.52;1187;3;122;268;1179;1182;5;1466;8.24;94;5;0.42%
Parlament;2015;5;12;77.95;22;86;2.41;29.82;6.36;18.86;5;11;136;8.77;1.1;25;454;2;40;114;450;452;2;585;4.82;29;7;1.56%
Parlament;2015;5;13;72.07;56;154;0.83;20.81;6.42;18.31;9;7;175;15.93;1.07;28.54;839;2;134;240;836;838;1;1167;6.66;54;7;0.84%
Parlament;2015;5;14;77.47;101;231;1.63;22.55;5.8;18.87;14;20;276;13.4;1.14;26.8;1221;3;164;328;1214;1217;4;1580;8.25;71;9;0.74%
