Elecció;Any;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;ICV;% ICV;;% Podemos;PP;% PP;;;;;PACMA;% PACMA;Cs;% Cs;Altres;% Altres
Europees;2009;;4;1;1010;399;12;9;378;39.50%;66;16.92%;153;39.23%;30;7.69%;33;8.46%;;;63;16.15%;;;;;0;0.00%;;;33;8.46%
Europees;2009;;4;2;1150;449;18;1;430;39.04%;97;21.65%;192;42.86%;58;12.95%;26;5.80%;;;38;8.48%;;;;;3;0.67%;;;16;3.57%
Europees;2009;;4;3;1221;480;14;6;460;39.31%;147;31.01%;131;27.64%;54;11.39%;39;8.23%;;;72;15.19%;;;;;2;0.42%;;;15;3.16%
Europees;2009;;4;4;1087;423;18;2;403;38.91%;150;35.63%;99;23.52%;45;10.69%;23;5.46%;;;61;14.49%;;;;;1;0.24%;;;24;5.70%
Europees;2009;;4;5;1077;339;13;0;326;31.48%;109;32.15%;92;27.14%;40;11.80%;23;6.78%;;;39;11.50%;;;;;1;0.29%;;;22;6.49%
Europees;2009;;4;6;1378;549;18;9;522;39.84%;252;46.67%;83;15.37%;29;5.37%;49;9.07%;;;81;15.00%;;;;;2;0.37%;;;26;4.81%
Europees;2009;;4;7;1686;545;11;7;527;32.33%;305;56.69%;58;10.78%;29;5.39%;26;4.83%;;;88;16.36%;;;;;0;0.00%;;;21;3.90%
Europees;2009;;4;8;771;292;9;0;283;37.87%;129;44.18%;38;13.01%;15;5.14%;25;8.56%;;;69;23.63%;;;;;1;0.34%;;;6;2.05%
Europees;2009;;4;9;734;255;6;0;249;34.74%;134;52.55%;0;0.00%;1;0.39%;18;7.06%;;;63;24.71%;;;;;0;0.00%;;;33;12.94%
Europees;2009;;4;10;498;182;1;3;178;36.55%;116;64.80%;8;4.47%;8;4.47%;18;10.06%;;;24;13.41%;;;;;0;0.00%;;;4;2.23%
Europees;2009;;4;11;552;220;6;1;213;39.86%;143;65.30%;18;8.22%;7;3.20%;15;6.85%;;;22;10.05%;;;;;2;0.91%;;;6;2.74%
Europees;2009;;4;12;990;363;7;3;353;36.67%;172;47.78%;48;13.33%;25;6.94%;31;8.61%;;;61;16.94%;;;;;3;0.83%;;;13;3.61%
Europees;2009;;4;13;1287;528;15;1;512;41.03%;170;32.26%;149;28.27%;54;10.25%;40;7.59%;;;78;14.80%;;;;;0;0.00%;;;21;3.98%
Europees;2009;;4;14;975;431;16;1;414;44.21%;78;18.14%;173;40.23%;49;11.40%;25;5.81%;;;64;14.88%;;;;;3;0.70%;;;22;5.12%
Europees;2009;;4;15;833;347;17;3;327;41.66%;45;13.08%;170;49.42%;33;9.59%;13;3.78%;;;54;15.70%;;;;;1;0.29%;;;11;3.20%
Europees;2009;;4;16;935;480;14;1;465;51.34%;65;13.57%;225;46.97%;50;10.44%;19;3.97%;;;89;18.58%;;;;;3;0.63%;;;14;2.92%
Europees;2009;;4;17;1005;443;13;5;425;44.08%;111;25.34%;134;30.59%;66;15.07%;35;7.99%;;;62;14.16%;;;;;2;0.46%;;;15;3.42%
Europees;2009;;4;18;1539;638;17;5;616;41.46%;210;33.18%;203;32.07%;55;8.69%;43;6.79%;;;71;11.22%;;;;;3;0.47%;;;31;4.90%
Europees;2009;;4;19;903;337;5;1;331;37.32%;161;47.92%;53;15.77%;15;4.46%;32;9.52%;;;60;17.86%;;;;;0;0.00%;;;10;2.98%
Europees;2009;;4;20;555;209;5;0;204;37.66%;152;72.73%;6;2.87%;4;1.91%;4;1.91%;;;32;15.31%;;;;;0;0.00%;;;6;2.87%
Europees;2009;;4;21;789;287;8;1;278;36.38%;180;62.94%;5;1.75%;11;3.85%;19;6.64%;;;57;19.93%;;;;;0;0.00%;;;6;2.10%
Europees;2009;;4;22;1533;421;6;4;411;27.46%;192;46.04%;43;10.31%;23;5.52%;46;11.03%;;;88;21.10%;;;;;0;0.00%;;;19;4.56%
Europees;2009;;4;23;1484;471;13;10;448;31.74%;208;45.12%;54;11.71%;21;4.56%;40;8.68%;;;96;20.82%;;;;;6;1.30%;;;23;4.99%
Europees;2009;;4;24;1353;397;6;1;390;29.34%;196;49.49%;29;7.32%;21;5.30%;30;7.58%;;;94;23.74%;;;;;4;1.01%;;;16;4.04%
Europees;2009;;4;25;942;350;20;4;326;37.15%;132;38.15%;64;18.50%;29;8.38%;25;7.23%;;;64;18.50%;;;;;1;0.29%;;;11;3.18%
Europees;2009;;4;26;1018;446;16;2;428;43.81%;91;20.50%;168;37.84%;55;12.39%;35;7.88%;;;59;13.29%;;;;;2;0.45%;;;18;4.05%
Europees;2009;;5;1;1412;457;21;6;430;32.37%;185;41.02%;87;19.29%;33;7.32%;18;3.99%;;;83;18.40%;;;;;0;0.00%;;;24;5.32%
Europees;2009;;5;2;1146;390;1;3;386;34.03%;211;54.52%;46;11.89%;9;2.33%;21;5.43%;;;76;19.64%;;;;;2;0.52%;;;21;5.43%
Europees;2009;;5;3;1405;519;11;7;501;36.94%;173;33.79%;132;25.78%;53;10.35%;41;8.01%;;;81;15.82%;;;;;2;0.39%;;;19;3.71%
Europees;2009;;5;4;1084;433;16;3;414;39.94%;164;38.14%;109;25.35%;47;10.93%;31;7.21%;;;43;10.00%;;;;;0;0.00%;;;20;4.65%
Europees;2009;;5;5;783;288;6;1;281;36.78%;93;32.40%;70;24.39%;36;12.54%;17;5.92%;;;51;17.77%;;;;;2;0.70%;;;12;4.18%
Europees;2009;;5;6;1578;677;29;5;643;42.90%;223;33.18%;198;29.46%;55;8.18%;45;6.70%;;;86;12.80%;;;;;3;0.45%;;;33;4.91%
Europees;2009;;5;7;851;395;8;1;386;46.42%;105;26.65%;104;26.40%;55;13.96%;36;9.14%;;;57;14.47%;;;;;3;0.76%;;;26;6.60%
Europees;2009;;5;8;1390;563;21;7;535;40.50%;188;33.81%;143;25.72%;65;11.69%;40;7.19%;;;76;13.67%;;;;;2;0.36%;;;21;3.78%
Europees;2009;;5;9;1356;497;10;2;485;36.65%;198;40.00%;98;19.80%;48;9.70%;36;7.27%;;;81;16.36%;;;;;1;0.20%;;;23;4.65%
Europees;2009;;5;10;1511;666;14;4;648;44.08%;379;57.25%;53;8.01%;22;3.32%;58;8.76%;;;107;16.16%;;;;;3;0.45%;;;26;3.93%
Europees;2009;;5;11;1392;594;13;3;578;42.67%;238;40.27%;100;16.92%;42;7.11%;51;8.63%;;;119;20.14%;;;;;3;0.51%;;;25;4.23%
Europees;2009;;5;12;598;243;5;1;237;40.64%;116;47.93%;47;19.42%;13;5.37%;13;5.37%;;;38;15.70%;;;;;1;0.41%;;;9;3.72%
Europees;2009;;5;13;1005;329;8;2;319;32.74%;195;59.63%;43;13.15%;5;1.53%;18;5.50%;;;43;13.15%;;;;;3;0.92%;;;12;3.67%
Europees;2009;;5;14;1573;633;6;0;627;40.24%;330;52.13%;68;10.74%;35;5.53%;41;6.48%;;;119;18.80%;;;;;2;0.32%;;;32;5.06%
Europees;2009;;5;15;1525;487;9;2;476;31.93%;273;56.29%;49;10.10%;18;3.71%;41;8.45%;;;69;14.23%;;;;;1;0.21%;;;25;5.15%
Europees;2009;;5;16;1681;601;19;0;582;35.75%;310;51.58%;85;14.14%;16;2.66%;30;4.99%;;;116;19.30%;;;;;4;0.67%;;;21;3.49%
Europees;2009;;5;17;1263;359;8;2;349;28.42%;150;42.02%;62;17.37%;29;8.12%;33;9.24%;;;57;15.97%;;;;;0;0.00%;;;18;5.04%
Europees;2009;;5;18;1031;386;7;1;378;37.44%;224;58.18%;24;6.23%;4;1.04%;19;4.94%;;;85;22.08%;;;;;4;1.04%;;;18;4.68%
Europees;2009;;5;19;685;178;5;5;168;25.99%;63;36.42%;43;24.86%;10;5.78%;13;7.51%;;;20;11.56%;;;;;2;1.16%;;;17;9.83%
Europees;2009;;5;20;1179;415;15;0;400;35.20%;150;36.14%;96;23.13%;41;9.88%;30;7.23%;;;52;12.53%;;;;;2;0.48%;;;29;6.99%
Europees;2009;;5;21;1376;534;16;1;517;38.81%;262;49.16%;71;13.32%;22;4.13%;30;5.63%;;;99;18.57%;;;;;4;0.75%;;;29;5.44%
Europees;2009;;5;22;557;195;1;0;194;35.01%;89;45.64%;29;14.87%;9;4.62%;19;9.74%;;;36;18.46%;;;;;4;2.05%;;;8;4.10%
Europees;2009;;5;23;1166;441;16;1;424;37.82%;121;27.50%;154;35.00%;49;11.14%;29;6.59%;;;53;12.05%;;;;;2;0.45%;;;16;3.64%
Europees;2009;;5;24;1099;352;9;3;340;32.03%;139;39.83%;67;19.20%;28;8.02%;33;9.46%;;;61;17.48%;;;;;0;0.00%;;;12;3.44%
Europees;2009;;5;25;864;317;4;1;312;36.69%;171;54.11%;44;13.92%;13;4.11%;16;5.06%;;;46;14.56%;;;;;2;0.63%;;;20;6.33%
Europees;2009;;5;26;1001;440;22;9;409;43.96%;154;35.73%;109;25.29%;33;7.66%;27;6.26%;;;63;14.62%;;;;;3;0.70%;;;20;4.64%
Europees;2009;;5;27;928;404;23;1;380;43.53%;111;27.54%;101;25.06%;48;11.91%;34;8.44%;;;63;15.63%;;;;;1;0.25%;;;22;5.46%
Europees;2009;;5;28;886;342;8;3;331;38.60%;150;44.25%;36;10.62%;15;4.42%;37;10.91%;;;63;18.58%;;;;;2;0.59%;;;28;8.26%
Europees;2009;;5;29;796;347;14;2;331;43.59%;160;46.38%;36;10.43%;21;6.09%;39;11.30%;;;54;15.65%;;;;;2;0.58%;;;19;5.51%
Europees;2009;;6;1;876;353;9;5;339;40.30%;214;61.49%;40;11.49%;9;2.59%;12;3.45%;;;49;14.08%;;;;;1;0.29%;;;14;4.02%
Europees;2009;;6;2;1140;460;7;1;452;40.35%;220;47.93%;72;15.69%;24;5.23%;38;8.28%;;;72;15.69%;;;;;2;0.44%;;;24;5.23%
Europees;2009;;6;3;1415;502;14;1;487;35.48%;260;51.90%;55;10.98%;19;3.79%;31;6.19%;;;96;19.16%;;;;;5;1.00%;;;21;4.19%
Europees;2009;;6;4;882;346;3;1;342;39.23%;151;43.77%;44;12.75%;17;4.93%;22;6.38%;;;92;26.67%;;;;;0;0.00%;;;16;4.64%
Europees;2009;;6;5;1057;323;10;4;309;30.56%;168;52.66%;39;12.23%;23;7.21%;20;6.27%;;;40;12.54%;;;;;0;0.00%;;;19;5.96%
Europees;2009;;6;6;1107;303;5;1;297;27.37%;136;45.03%;26;8.61%;12;3.97%;19;6.29%;;;75;24.83%;;;;;3;0.99%;;;26;8.61%
Europees;2009;;6;8;1549;525;15;1;509;33.89%;232;44.27%;103;19.66%;42;8.02%;27;5.15%;;;69;13.17%;;;;;5;0.95%;;;31;5.92%
Europees;2009;;6;9;830;302;0;0;302;36.39%;170;56.29%;33;10.93%;20;6.62%;16;5.30%;;;46;15.23%;;;;;2;0.66%;;;15;4.97%
Europees;2009;;6;10;1540;600;11;1;588;38.96%;329;54.92%;61;10.18%;25;4.17%;45;7.51%;;;105;17.53%;;;;;0;0.00%;;;23;3.84%
Europees;2009;;6;11;1361;372;3;7;362;27.33%;196;53.70%;30;8.22%;15;4.11%;21;5.75%;;;75;20.55%;;;;;1;0.27%;;;24;6.58%
Europees;2009;;6;12;1009;350;9;2;339;34.69%;199;57.18%;33;9.48%;7;2.01%;26;7.47%;;;60;17.24%;;;;;3;0.86%;;;11;3.16%
Europees;2009;;6;13;680;317;7;1;309;46.62%;189;59.81%;18;5.70%;6;1.90%;33;10.44%;;;46;14.56%;;;;;1;0.32%;;;16;5.06%
Europees;2009;;6;14;700;232;5;4;223;33.14%;135;59.21%;11;4.82%;3;1.32%;9;3.95%;;;55;24.12%;;;;;1;0.44%;;;9;3.95%
Europees;2009;;6;16;1156;353;7;3;343;30.54%;166;47.43%;56;16.00%;8;2.29%;28;8.00%;;;73;20.86%;;;;;0;0.00%;;;12;3.43%
Europees;2009;;6;18;496;214;1;5;208;43.15%;133;63.64%;18;8.61%;8;3.83%;14;6.70%;;;28;13.40%;;;;;0;0.00%;;;7;3.35%
Europees;2009;;6;19;471;170;2;0;168;36.09%;108;63.53%;16;9.41%;3;1.76%;10;5.88%;;;22;12.94%;;;;;0;0.00%;;;9;5.29%
Europees;2009;;6;20;480;174;2;0;172;36.25%;98;56.32%;9;5.17%;8;4.60%;16;9.20%;;;34;19.54%;;;;;0;0.00%;;;7;4.02%
Europees;2009;;6;21;730;238;1;0;237;32.60%;136;57.14%;22;9.24%;9;3.78%;22;9.24%;;;37;15.55%;;;;;0;0.00%;;;11;4.62%
Europees;2009;;6;23;947;326;10;3;313;34.42%;185;57.28%;23;7.12%;12;3.72%;9;2.79%;;;68;21.05%;;;;;4;1.24%;;;12;3.72%
Europees;2009;;6;24;1781;527;10;0;517;29.59%;278;52.75%;46;8.73%;20;3.80%;34;6.45%;;;117;22.20%;;;;;4;0.76%;;;18;3.42%
Europees;2009;;6;25;1382;470;12;3;455;34.01%;265;56.75%;34;7.28%;18;3.85%;33;7.07%;;;82;17.56%;;;;;3;0.64%;;;20;4.28%
Europees;2009;;6;26;1247;383;14;1;368;30.71%;211;55.24%;34;8.90%;13;3.40%;22;5.76%;;;71;18.59%;;;;;0;0.00%;;;17;4.45%
Europees;2009;;6;27;995;294;8;5;281;29.55%;175;60.55%;17;5.88%;7;2.42%;21;7.27%;;;49;16.96%;;;;;2;0.69%;;;10;3.46%
Europees;2009;;6;28;1179;383;5;4;374;32.49%;204;53.83%;31;8.18%;10;2.64%;32;8.44%;;;78;20.58%;;;;;0;0.00%;;;19;5.01%
Europees;2009;;6;29;777;188;5;1;182;24.20%;115;61.50%;12;6.42%;1;0.53%;8;4.28%;;;37;19.79%;;;;;0;0.00%;;;9;4.81%
Europees;2009;;6;30;553;139;6;0;133;25.14%;66;47.48%;14;10.07%;6;4.32%;15;10.79%;;;29;20.86%;;;;;0;0.00%;;;3;2.16%
Europees;2009;;6;31;768;196;4;4;188;25.52%;112;58.33%;7;3.65%;10;5.21%;19;9.90%;;;26;13.54%;;;;;1;0.52%;;;13;6.77%
Europees;2009;;6;32;523;94;4;0;90;17.97%;41;43.62%;14;14.89%;4;4.26%;6;6.38%;;;19;20.21%;;;;;1;1.06%;;;5;5.32%
Europees;2009;;6;33;938;246;3;8;235;26.23%;103;43.28%;49;20.59%;13;5.46%;22;9.24%;;;32;13.45%;;;;;2;0.84%;;;14;5.88%
