Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;ERC;% ERC;Verds;% Verds;ICV;% ICV;PP;% PP;PSC;% PSC;Altres;% Altres
5;22;554;413;3;2;408;74.55%;62;15.09%;51;12.41%;0;0.00%;37;9.00%;61;14.84%;196;47.69%;1;0.24%
5;23;1087;851;4;1;846;78.29%;266;31.29%;187;22.00%;8;0.94%;55;6.47%;69;8.12%;259;30.47%;2;0.24%
5;24;1058;755;10;0;745;71.36%;140;18.54%;122;16.16%;3;0.40%;51;6.75%;100;13.25%;326;43.18%;3;0.40%
5;25;871;669;6;1;662;76.81%;97;14.52%;80;11.98%;8;1.20%;53;7.93%;91;13.62%;330;49.40%;3;0.45%
6;1;973;736;7;1;728;75.64%;60;8.16%;48;6.53%;0;0.00%;35;4.76%;107;14.56%;467;63.54%;11;1.50%
6;2;1145;845;7;1;837;73.80%;124;14.69%;77;9.12%;2;0.24%;62;7.35%;118;13.98%;446;52.84%;8;0.95%
6;3;1550;1081;16;4;1061;69.74%;118;10.96%;96;8.91%;6;0.56%;95;8.82%;165;15.32%;573;53.20%;8;0.74%
6;4;1008;718;1;0;717;71.23%;96;13.37%;80;11.14%;4;0.56%;51;7.10%;162;22.56%;316;44.01%;8;1.11%
6;5;844;589;7;1;581;69.79%;50;8.50%;60;10.20%;5;0.85%;38;6.46%;93;15.82%;332;56.46%;3;0.51%
6;6;2149;1464;13;5;1446;68.12%;122;8.36%;101;6.92%;16;1.10%;152;10.42%;211;14.46%;837;57.37%;7;0.48%
6;8;1551;1184;10;1;1173;76.34%;229;19.36%;195;16.48%;12;1.01%;58;4.90%;132;11.16%;541;45.73%;6;0.51%
6;9;945;685;6;0;679;72.49%;82;11.97%;73;10.66%;7;1.02%;46;6.72%;95;13.87%;370;54.01%;6;0.88%
6;10;2271;1630;13;4;1613;71.77%;169;10.39%;140;8.61%;10;0.62%;142;8.73%;212;13.04%;931;57.26%;9;0.55%
6;11;1427;866;11;0;855;60.69%;72;8.31%;70;8.08%;19;2.19%;68;7.85%;116;13.39%;505;58.31%;5;0.58%
6;12;1063;805;6;1;798;75.73%;91;11.32%;55;6.84%;11;1.37%;58;7.21%;117;14.55%;462;57.46%;4;0.50%
6;13;722;553;8;0;545;76.59%;33;5.97%;26;4.70%;2;0.36%;83;15.01%;75;13.56%;324;58.59%;2;0.36%
6;14;809;562;4;2;556;69.47%;34;6.07%;41;7.32%;6;1.07%;33;5.89%;100;17.86%;340;60.71%;2;0.36%
6;16;1046;728;10;1;717;69.60%;73;10.04%;49;6.74%;2;0.28%;61;8.39%;116;15.96%;408;56.12%;8;1.10%
6;18;575;412;0;0;412;71.65%;24;5.83%;20;4.85%;2;0.49%;33;8.01%;70;16.99%;260;63.11%;3;0.73%
6;19;523;384;0;1;383;73.42%;52;13.58%;6;1.57%;0;0.00%;29;7.57%;55;14.36%;239;62.40%;2;0.52%
6;20;577;421;2;1;418;72.96%;32;7.62%;25;5.95%;4;0.95%;40;9.52%;77;18.33%;236;56.19%;4;0.95%
6;21;865;581;3;2;576;67.17%;62;10.71%;30;5.18%;1;0.17%;50;8.64%;95;16.41%;336;58.03%;2;0.35%
6;23;1058;768;7;7;754;72.59%;76;9.99%;30;3.94%;11;1.45%;55;7.23%;130;17.08%;446;58.61%;6;0.79%
6;24;1862;1271;13;0;1258;68.26%;104;8.18%;76;5.98%;19;1.49%;103;8.10%;202;15.89%;743;58.46%;11;0.87%
6;25;1493;1091;8;1;1082;73.07%;101;9.27%;85;7.80%;7;0.64%;83;7.61%;140;12.84%;646;59.27%;20;1.83%
6;26;1155;809;12;1;796;70.04%;81;10.02%;25;3.09%;7;0.87%;62;7.67%;130;16.09%;483;59.78%;8;0.99%
6;27;1057;772;7;1;764;73.04%;57;7.39%;40;5.19%;9;1.17%;60;7.78%;101;13.10%;495;64.20%;2;0.26%
6;28;1236;884;14;3;867;71.52%;48;5.45%;38;4.31%;7;0.79%;74;8.40%;153;17.37%;537;60.95%;10;1.14%
