Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU;% CiU;PP;% PP;ICV;% ICV;ERC;% ERC;EUiA;% EUiA;Verds;% Verds;Altres;% Altres
Municipals;1999;3;16;885;438;0;0;438;49.49%;326;74.43%;13;2.97%;38;8.68%;29;6.62%;6;1.37%;17;3.88%;8;1.83%;1;0.23%
Municipals;1999;3;17;1204;499;6;3;490;41.45%;348;70.16%;26;5.24%;46;9.27%;30;6.05%;6;1.21%;13;2.62%;21;4.23%;0;0.00%
Municipals;1999;3;18;692;280;3;0;277;40.46%;185;66.07%;18;6.43%;34;12.14%;29;10.36%;3;1.07%;4;1.43%;3;1.07%;1;0.36%
Municipals;1999;3;19;1173;562;3;3;556;47.91%;365;65.30%;47;8.41%;72;12.88%;31;5.55%;19;3.40%;8;1.43%;13;2.33%;1;0.18%
Municipals;1999;4;1;1054;521;17;12;492;49.43%;166;32.61%;157;30.84%;61;11.98%;26;5.11%;54;10.61%;12;2.36%;15;2.95%;1;0.20%
Municipals;1999;4;2;1217;622;10;2;610;51.11%;201;32.42%;244;39.35%;43;6.94%;29;4.68%;65;10.48%;8;1.29%;20;3.23%;0;0.00%
Municipals;1999;4;3;1175;606;11;4;591;51.57%;252;41.86%;156;25.91%;69;11.46%;22;3.65%;61;10.13%;2;0.33%;25;4.15%;4;0.66%
Municipals;1999;4;4;1158;607;5;4;598;52.42%;250;41.46%;174;28.86%;62;10.28%;41;6.80%;36;5.97%;7;1.16%;24;3.98%;4;0.66%
Municipals;1999;4;5;1847;854;22;2;830;46.24%;359;42.14%;175;20.54%;110;12.91%;48;5.63%;83;9.74%;21;2.46%;31;3.64%;3;0.35%
Municipals;1999;4;6;1025;533;6;4;523;52.00%;290;54.82%;87;16.45%;62;11.72%;43;8.13%;17;3.21%;17;3.21%;6;1.13%;1;0.19%
Municipals;1999;4;7;1648;791;9;3;779;48.00%;518;65.74%;74;9.39%;91;11.55%;34;4.31%;24;3.05%;17;2.16%;21;2.66%;0;0.00%
Municipals;1999;4;8;3544;1587;31;3;1553;44.78%;917;57.89%;142;8.96%;138;8.71%;170;10.73%;54;3.41%;68;4.29%;56;3.54%;8;0.51%
Municipals;1999;4;9;660;323;0;5;318;48.94%;217;68.24%;10;3.14%;49;15.41%;26;8.18%;3;0.94%;8;2.52%;3;0.94%;2;0.63%
Municipals;1999;4;10;683;354;5;2;347;51.83%;243;69.03%;7;1.99%;32;9.09%;37;10.51%;6;1.70%;10;2.84%;12;3.41%;0;0.00%
Municipals;1999;4;11;585;309;4;5;300;52.82%;214;70.39%;14;4.61%;13;4.28%;26;8.55%;15;4.93%;15;4.93%;3;0.99%;0;0.00%
Municipals;1999;4;12;1129;580;10;5;565;51.37%;320;55.65%;89;15.48%;56;9.74%;39;6.78%;39;6.78%;12;2.09%;9;1.57%;1;0.17%
Municipals;1999;4;13;1072;542;6;6;530;50.56%;237;44.22%;136;25.37%;64;11.94%;35;6.53%;39;7.28%;5;0.93%;11;2.05%;3;0.56%
Municipals;1999;4;14;1686;983;17;1;965;58.30%;261;26.58%;393;40.02%;120;12.22%;54;5.50%;88;8.96%;10;1.02%;34;3.46%;5;0.51%
Municipals;1999;4;15;947;505;24;0;481;53.33%;99;19.60%;233;46.14%;77;15.25%;16;3.17%;41;8.12%;2;0.40%;13;2.57%;0;0.00%
Municipals;1999;4;16;966;588;29;2;557;60.87%;102;17.41%;246;41.98%;99;16.89%;25;4.27%;54;9.22%;9;1.54%;19;3.24%;3;0.51%
Municipals;1999;4;17;797;427;17;0;410;53.58%;122;28.57%;151;35.36%;51;11.94%;13;3.04%;53;12.41%;9;2.11%;9;2.11%;2;0.47%
Municipals;1999;4;18;1471;829;8;6;815;56.36%;349;42.41%;208;25.27%;90;10.94%;53;6.44%;72;8.75%;7;0.85%;30;3.65%;6;0.73%
Municipals;1999;4;19;1054;552;9;6;537;52.37%;282;51.65%;67;12.27%;72;13.19%;50;9.16%;34;6.23%;15;2.75%;15;2.75%;2;0.37%
Municipals;1999;4;20;720;335;1;0;334;46.53%;261;77.91%;4;1.19%;22;6.57%;25;7.46%;4;1.19%;10;2.99%;6;1.79%;2;0.60%
Municipals;1999;4;21;1060;502;5;1;496;47.36%;335;66.87%;29;5.79%;37;7.39%;69;13.77%;6;1.20%;12;2.40%;8;1.60%;0;0.00%
Municipals;1999;5;1;1118;504;8;1;495;45.08%;236;46.92%;89;17.69%;88;17.50%;36;7.16%;23;4.57%;13;2.58%;10;1.99%;0;0.00%
Municipals;1999;5;2;1442;652;3;3;646;45.21%;358;55.16%;68;10.48%;99;15.25%;50;7.70%;25;3.85%;27;4.16%;19;2.93%;0;0.00%
Municipals;1999;5;3;1545;764;21;3;740;49.45%;311;40.87%;173;22.73%;89;11.70%;52;6.83%;79;10.38%;15;1.97%;18;2.37%;3;0.39%
Municipals;1999;5;4;1681;932;22;2;908;55.44%;390;41.94%;210;22.58%;93;10.00%;75;8.06%;66;7.10%;33;3.55%;34;3.66%;7;0.75%
Municipals;1999;5;5;680;330;5;0;325;48.53%;125;37.88%;76;23.03%;46;13.94%;26;7.88%;35;10.61%;0;0.00%;14;4.24%;3;0.91%
Municipals;1999;5;6;1582;825;19;7;799;52.15%;358;43.77%;217;26.53%;71;8.68%;41;5.01%;87;10.64%;7;0.86%;12;1.47%;6;0.73%
Municipals;1999;5;7;1784;881;22;5;854;49.38%;381;43.49%;178;20.32%;87;9.93%;71;8.11%;90;10.27%;20;2.28%;23;2.63%;4;0.46%
Municipals;1999;5;8;1458;750;13;1;736;51.44%;310;41.39%;202;26.97%;74;9.88%;53;7.08%;69;9.21%;12;1.60%;15;2.00%;1;0.13%
Municipals;1999;5;9;1983;970;23;0;947;48.92%;418;43.09%;230;23.71%;103;10.62%;69;7.11%;84;8.66%;26;2.68%;16;1.65%;1;0.10%
