Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CiU;% CiU;CUP;% CUP;ERC;% ERC;PP;% PP;PSC;% PSC;PxC;% PxC;En Comú;% En Comú;Altres;% Altres
Municipals;2015;2;15;8279802015;607;232;0;1;231;38,06%;12;5,19%;49;21,21%;2;0,87%;1;0,43%;18;7,79%;95;41,13%;3;1,30%;47;20,35%;4;0.0173
Municipals;2015;2;16;8279802016;1289;623;14;7;602;47,79%;111;18,02%;27;4,38%;35;5,68%;59;9,58%;19;3,08%;148;24,03%;33;5,36%;157;25,49%;13;0.0216
Municipals;2015;2;17;8279802017;1205;559;9;1;549;46,31%;106;19,00%;18;3,23%;15;2,69%;36;6,45%;29;5,20%;166;29,75%;22;3,94%;151;27,06%;6;0.0109
Municipals;2015;3;1;8279803001;1306;704;7;4;693;53,60%;71;10,14%;94;13,43%;42;6,00%;111;15,86%;40;5,71%;174;24,86%;8;1,14%;143;20,43%;10;0.0144
Municipals;2015;3;2;8279803002;1059;627;6;1;620;59,11%;67;10,70%;70;11,18%;31;4,95%;99;15,81%;36;5,75%;162;25,88%;18;2,88%;134;21,41%;3;0.0048
Municipals;2015;3;3;8279803003;1172;630;9;0;621;53,75%;72;11,43%;50;7,94%;21;3,33%;67;10,63%;33;5,24%;212;33,65%;17;2,70%;138;21,90%;11;0.0177
Municipals;2015;3;4;8279803004;937;455;5;0;450;48,56%;43;9,45%;16;3,52%;32;7,03%;40;8,79%;27;5,93%;149;32,75%;18;3,96%;123;27,03%;2;0.0044
Municipals;2015;3;5;8279803005;1509;811;21;4;786;53,48%;46;5,70%;140;17,35%;72;8,92%;165;20,45%;27;3,35%;191;23,67%;12;1,49%;120;14,87%;13;0.0165
Municipals;2015;3;6;8279803006;1442;869;13;4;852;59,99%;85;9,83%;165;19,08%;83;9,60%;179;20,69%;35;4,05%;159;18,38%;6;0,69%;127;14,68%;13;0.0153
Municipals;2015;3;7;8279803007;1622;911;19;1;891;56,10%;102;11,21%;130;14,29%;70;7,69%;192;21,10%;34;3,74%;187;20,55%;6;0,66%;160;17,58%;10;0.0112
