Elecció;Any;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;ICV / Comuns;% ICV / Comuns;Podemos;% Podemos;PP;% PP;VOX;% VOX;SALF;% SALF;PACMA;% PACMA;Cs;% Cs;Altres;% Altres;Partido X;% Partido X;UPyD;% UPyD
Europees;2014;;6;24;1750;702;16;8;678;40.11%;180;25.94%;28;4.03%;58;8.36%;96;13.83%;74;10.66%;71;10.23%;0;0.00%;;;27;3.89%;81;11.67%;46;6.63%;;;;
Europees;2014;;6;25;1398;625;12;7;606;44.71%;190;30.74%;35;5.66%;83;13.43%;64;10.36%;53;8.58%;58;9.39%;1;0.16%;;;11;1.78%;65;10.52%;26;4.21%;;;;
Europees;2014;;6;26;1225;459;11;3;445;37.47%;127;27.85%;38;8.33%;40;8.77%;52;11.40%;36;7.89%;30;6.58%;3;0.66%;;;15;3.29%;46;10.09%;34;7.46%;;;;
Europees;2014;;6;27;973;356;7;1;348;36.59%;138;38.87%;15;4.23%;26;7.32%;39;10.99%;22;6.20%;35;9.86%;0;0.00%;;;10;2.82%;33;9.30%;18;5.07%;;;;
Europees;2014;;6;28;1181;504;9;4;491;42.68%;129;25.80%;18;3.60%;59;11.80%;74;14.80%;47;9.40%;60;12.00%;3;0.60%;;;9;1.80%;55;11.00%;18;3.60%;;;;
Europees;2014;;6;29;759;298;8;1;289;39.26%;63;21.21%;13;4.38%;30;10.10%;47;15.82%;23;7.74%;33;11.11%;0;0.00%;;;7;2.36%;46;15.49%;13;4.38%;;;;
Europees;2014;;6;30;543;197;5;2;190;36.28%;41;21.03%;8;4.10%;22;11.28%;40;20.51%;17;8.72%;18;9.23%;1;0.51%;;;2;1.03%;21;10.77%;11;5.64%;;;;
Europees;2014;;6;31;744;279;3;3;273;37.50%;84;30.43%;14;5.07%;31;11.23%;42;15.22%;21;7.61%;18;6.52%;0;0.00%;;;6;2.17%;27;9.78%;19;6.88%;;;;
Europees;2014;;6;32;556;199;7;1;191;35.79%;29;14.65%;15;7.58%;19;9.60%;21;10.61%;23;11.62%;17;8.59%;0;0.00%;;;11;5.56%;29;14.65%;15;7.58%;;;;
Europees;2014;;6;33;998;418;8;6;404;41.88%;60;14.56%;36;8.74%;97;23.54%;44;10.68%;22;5.34%;21;5.10%;1;0.24%;;;11;2.67%;64;15.53%;32;7.77%;;;;
Europees;2019;08279801001;1;1;1091;843;3;3;837;77.27%;55;6.55%;480;57.14%;175;20.83%;;;26;3.10%;39;4.64%;8;0.95%;;;10;1.19%;34;4.05%;10;1.19%;;;;
Europees;2019;08279801002;1;2;1115;790;7;0;783;70.85%;67;8.48%;384;48.61%;194;24.56%;;;40;5.06%;43;5.44%;6;0.76%;;;10;1.27%;24;3.04%;15;1.92%;;;;
Europees;2019;08279801004;1;4;1539;1126;5;5;1116;73.16%;108;9.63%;517;46.12%;289;25.78%;;;69;6.16%;42;3.75%;13;1.16%;;;20;1.78%;36;3.21%;22;1.97%;;;;
Europees;2019;08279801005;1;5;987;759;5;3;751;76.90%;84;11.11%;340;44.97%;170;22.49%;;;60;7.94%;34;4.50%;6;0.79%;;;4;0.53%;39;5.16%;14;1.86%;;;;
Europees;2019;08279801006;1;6;1209;897;3;3;891;74.19%;84;9.40%;445;49.78%;199;22.26%;;;42;4.70%;37;4.14%;18;2.01%;;;2;0.22%;56;6.26%;8;0.90%;;;;
Europees;2019;08279801007;1;7;1427;993;6;1;986;69.59%;110;11.09%;476;47.98%;201;20.26%;;;43;4.33%;62;6.25%;17;1.71%;;;23;2.32%;38;3.83%;16;1.62%;;;;
Europees;2019;08279801008;1;8;1984;1461;10;0;1451;73.64%;139;9.51%;694;47.50%;345;23.61%;;;80;5.48%;63;4.31%;15;1.03%;;;21;1.44%;80;5.48%;14;0.96%;;;;
Europees;2019;08279801009;1;9;1050;744;2;1;741;70.86%;48;6.46%;341;45.90%;199;26.78%;;;49;6.59%;37;4.98%;11;1.48%;;;5;0.67%;39;5.25%;12;1.62%;;;;
Europees;2019;08279801010;1;10;979;693;3;1;689;70.79%;89;12.86%;286;41.33%;203;29.34%;;;35;5.06%;27;3.90%;5;0.72%;;;10;1.45%;24;3.47%;10;1.45%;;;;
Europees;2019;08279801011;1;11;920;581;3;1;577;63.15%;166;28.62%;116;20.00%;129;22.24%;;;71;12.24%;11;1.90%;7;1.21%;;;2;0.34%;60;10.34%;15;2.60%;;;;
Europees;2019;08279801012;1;12;1098;691;8;0;683;62.93%;158;22.87%;180;26.05%;166;24.02%;;;91;13.17%;19;2.75%;4;0.58%;;;8;1.16%;46;6.66%;11;1.61%;;;;
Europees;2019;08279801013;1;13;642;386;7;1;378;60.12%;149;38.70%;38;9.87%;55;14.29%;;;56;14.55%;16;4.16%;14;3.64%;;;11;2.86%;33;8.57%;6;1.59%;;;;
Europees;2019;08279801014;1;14;1624;929;4;2;923;57.20%;268;28.91%;160;17.26%;186;20.06%;;;82;8.85%;55;5.93%;17;1.83%;;;21;2.27%;120;12.94%;14;1.52%;;;;
Europees;2019;08279801015;1;15;934;592;0;4;588;63.38%;191;32.48%;133;22.62%;100;17.01%;;;73;12.41%;22;3.74%;10;1.70%;;;12;2.04%;44;7.48%;3;0.51%;;;;
Europees;2019;08279801016;1;16;1863;1242;0;2;1240;66.67%;231;18.63%;430;34.68%;312;25.16%;;;85;6.85%;29;2.34%;21;1.69%;;;24;1.94%;86;6.94%;22;1.77%;;;;
Europees;2019;08279801017;1;17;1653;1192;4;0;1188;72.11%;139;11.66%;524;43.96%;299;25.08%;;;89;7.47%;35;2.94%;8;0.67%;;;17;1.43%;56;4.70%;21;1.77%;;;;
Europees;2019;08279801018;1;18;440;337;4;1;332;76.59%;41;12.20%;154;45.83%;82;24.40%;;;19;5.65%;5;1.49%;1;0.30%;;;2;0.60%;22;6.55%;6;1.81%;;;;
Europees;2019;08279801019;1;19;1159;722;6;1;715;62.30%;178;24.69%;146;20.25%;176;24.41%;;;79;10.96%;40;5.55%;14;1.94%;;;12;1.66%;61;8.46%;9;1.26%;;;;
Europees;2019;08279801020;1;20;1048;793;2;0;791;75.67%;146;18.41%;291;36.70%;173;21.82%;;;55;6.94%;33;4.16%;6;0.76%;;;10;1.26%;61;7.69%;16;2.02%;;;;
Europees;2019;08279801021;1;21;1070;689;3;1;685;64.39%;155;22.53%;198;28.78%;137;19.91%;;;66;9.59%;31;4.51%;4;0.58%;;;12;1.74%;70;10.17%;12;1.75%;;;;
Europees;2019;08279801022;1;22;1398;973;6;3;964;69.60%;148;15.26%;384;39.59%;229;23.61%;;;54;5.57%;34;3.51%;23;2.37%;;;9;0.93%;64;6.60%;19;1.97%;;;;
Europees;2019;08279801023;1;23;965;756;4;1;751;78.34%;122;16.16%;246;32.58%;173;22.91%;;;55;7.28%;35;4.64%;14;1.85%;;;18;2.38%;74;9.80%;14;1.86%;;;;
Europees;2019;08279801024;1;24;661;491;6;1;484;74.28%;32;6.53%;267;54.49%;104;21.22%;;;29;5.92%;23;4.69%;6;1.22%;;;4;0.82%;12;2.45%;7;1.45%;;;;
Europees;2019;08279802001;2;1;1093;600;6;0;594;54.89%;220;36.67%;46;7.67%;93;15.50%;;;65;10.83%;36;6.00%;25;4.17%;;;7;1.17%;83;13.83%;19;3.20%;;;;
Europees;2019;08279802002;2;2;456;185;1;1;183;40.57%;79;42.93%;17;9.24%;14;7.61%;;;19;10.33%;13;7.07%;3;1.63%;;;9;4.89%;18;9.78%;11;6.01%;;;;
Europees;2019;08279802003;2;3;799;377;2;1;374;47.18%;173;46.01%;25;6.65%;35;9.31%;;;28;7.45%;30;7.98%;12;3.19%;;;9;2.39%;48;12.77%;14;3.74%;;;;
Europees;2019;08279802004;2;4;660;299;4;0;295;45.30%;117;39.13%;20;6.69%;24;8.03%;;;40;13.38%;35;11.71%;6;2.01%;;;3;1.00%;43;14.38%;7;2.37%;;;;
Europees;2019;08279802005;2;5;823;445;1;2;442;54.07%;160;36.12%;26;5.87%;57;12.87%;;;67;15.12%;30;6.77%;11;2.48%;;;5;1.13%;64;14.45%;22;4.98%;;;;
Europees;2019;08279802006;2;6;737;395;0;2;393;53.60%;142;36.13%;57;14.50%;49;12.47%;;;50;12.72%;21;5.34%;12;3.05%;;;10;2.54%;47;11.96%;5;1.27%;;;;
Europees;2019;08279802008;2;8;778;444;5;1;438;57.07%;165;37.25%;35;7.90%;64;14.45%;;;50;11.29%;20;4.51%;10;2.26%;;;13;2.93%;64;14.45%;17;3.88%;;;;
Europees;2019;08279802009;2;9;1120;566;1;3;562;50.54%;217;38.54%;54;9.59%;88;15.63%;;;77;13.68%;29;5.15%;16;2.84%;;;8;1.42%;59;10.48%;14;2.49%;;;;
Europees;2019;08279802011;2;11;826;411;3;1;407;49.76%;143;34.88%;32;7.80%;50;12.20%;;;55;13.41%;23;5.61%;19;4.63%;;;17;4.15%;61;14.88%;7;1.72%;;;;
Europees;2019;08279802012;2;12;670;285;6;1;278;42.54%;114;40.14%;18;6.34%;28;9.86%;;;47;16.55%;14;4.93%;9;3.17%;;;5;1.76%;30;10.56%;13;4.68%;;;;
Europees;2019;08279802014;2;14;1474;782;9;3;770;53.05%;221;28.37%;81;10.40%;137;17.59%;;;117;15.02%;27;3.47%;41;5.26%;;;24;3.08%;108;13.86%;14;1.82%;;;;
Europees;2019;08279802015;2;15;595;213;0;1;212;35.80%;108;50.94%;7;3.30%;15;7.08%;;;30;14.15%;7;3.30%;9;4.25%;;;5;2.36%;31;14.62%;0;0.00%;;;;
Europees;2019;08279802016;2;16;1570;882;1;1;880;56.18%;231;26.22%;112;12.71%;182;20.66%;;;129;14.64%;18;2.04%;40;4.54%;;;40;4.54%;112;12.71%;16;1.82%;;;;
Europees;2019;08279802017;2;17;1368;671;3;4;664;49.05%;243;36.43%;50;7.50%;118;17.69%;;;98;14.69%;10;1.50%;33;4.95%;;;17;2.55%;83;12.44%;12;1.81%;;;;
Europees;2019;08279803001;3;1;1315;771;3;1;767;58.63%;190;24.68%;175;22.73%;195;25.32%;;;70;9.09%;27;3.51%;15;1.95%;;;14;1.82%;64;8.31%;17;2.22%;;;;
Europees;2019;08279803002;3;2;1103;740;9;1;730;67.09%;183;24.76%;174;23.55%;157;21.24%;;;64;8.66%;33;4.47%;6;0.81%;;;29;3.92%;72;9.74%;12;1.64%;;;;
Europees;2019;08279803003;3;3;1222;686;8;1;677;56.14%;216;31.53%;93;13.58%;112;16.35%;;;79;11.53%;46;6.72%;21;3.07%;;;16;2.34%;82;11.97%;12;1.77%;;;;
Europees;2019;08279803004;3;4;940;470;3;0;467;50.00%;148;31.49%;56;11.91%;80;17.02%;;;80;17.02%;33;7.02%;10;2.13%;;;10;2.13%;42;8.94%;8;1.71%;;;;
Europees;2019;08279803005;3;5;1747;1066;7;4;1055;61.02%;206;19.40%;333;31.36%;274;25.80%;;;106;9.98%;11;1.04%;14;1.32%;;;19;1.79%;79;7.44%;13;1.23%;;;;
Europees;2019;08279803006;3;6;1523;1013;0;6;1007;66.51%;164;16.29%;370;36.74%;233;23.14%;;;104;10.33%;21;2.09%;12;1.19%;;;23;2.28%;57;5.66%;23;2.28%;;;;
Europees;2019;08279803007;3;7;1631;1050;10;0;1040;64.38%;181;17.24%;304;28.95%;269;25.62%;;;107;10.19%;35;3.33%;22;2.10%;;;23;2.19%;86;8.19%;13;1.25%;;;;
Europees;2019;08279803008;3;8;1552;819;6;1;812;52.77%;348;42.54%;75;9.17%;89;10.88%;;;120;14.67%;44;5.38%;29;3.55%;;;6;0.73%;79;9.66%;22;2.71%;;;;
Europees;2019;08279803014;3;14;1088;505;4;1;500;46.42%;170;33.73%;76;15.08%;93;18.45%;;;45;8.93%;23;4.56%;19;3.77%;;;11;2.18%;55;10.91%;8;1.60%;;;;
Europees;2019;08279803015;3;15;918;548;2;1;545;59.69%;176;32.18%;79;14.44%;96;17.55%;;;65;11.88%;32;5.85%;24;4.39%;;;13;2.38%;50;9.14%;10;1.83%;;;;
Europees;2019;08279803016;3;16;678;362;3;0;359;53.39%;149;41.16%;18;4.97%;28;7.73%;;;50;13.81%;28;7.73%;8;2.21%;;;6;1.66%;66;18.23%;6;1.67%;;;;
Europees;2019;08279803017;3;17;840;441;2;1;438;52.50%;205;46.59%;14;3.18%;44;10.00%;;;59;13.41%;29;6.59%;9;2.05%;;;11;2.50%;57;12.95%;10;2.28%;;;;
Europees;2019;08279803018;3;18;754;431;3;0;428;57.16%;156;36.19%;29;6.73%;61;14.15%;;;55;12.76%;14;3.25%;19;4.41%;;;11;2.55%;71;16.47%;12;2.80%;;;;
Europees;2019;08279803019;3;19;906;472;2;1;469;52.10%;202;42.89%;34;7.22%;60;12.74%;;;45;9.55%;17;3.61%;13;2.76%;;;8;1.70%;71;15.07%;19;4.05%;;;;
Europees;2019;08279803020;3;20;1182;643;3;1;639;54.40%;195;30.37%;139;21.65%;124;19.31%;;;75;11.68%;18;2.80%;8;1.25%;;;18;2.80%;51;7.94%;11;1.72%;;;;
Europees;2019;08279804001;4;1;1102;765;1;1;763;69.42%;86;11.26%;371;48.56%;156;20.42%;;;41;5.37%;39;5.10%;14;1.83%;;;3;0.39%;40;5.24%;13;1.70%;;;;
Europees;2019;08279804002;4;2;1153;809;4;2;803;70.16%;96;11.90%;344;42.63%;229;28.38%;;;46;5.70%;27;3.35%;5;0.62%;;;13;1.61%;35;4.34%;8;1.00%;;;;
Europees;2019;08279804003;4;3;1298;843;6;3;834;64.95%;146;17.38%;258;30.71%;230;27.38%;;;74;8.81%;43;5.12%;8;0.95%;;;15;1.79%;45;5.36%;15;1.80%;;;;
Europees;2019;08279804004;4;4;1153;728;5;1;722;63.14%;142;19.53%;192;26.41%;195;26.82%;;;62;8.53%;20;2.75%;8;1.10%;;;13;1.79%;72;9.90%;18;2.49%;;;;
Europees;2019;08279804005;4;5;1222;696;5;2;689;56.96%;136;19.60%;167;24.06%;201;28.96%;;;61;8.79%;17;2.45%;10;1.44%;;;14;2.02%;67;9.65%;16;2.32%;;;;
Europees;2019;08279804006;4;6;1452;885;6;3;876;60.95%;252;28.57%;134;15.19%;203;23.02%;;;102;11.56%;40;4.54%;23;2.61%;;;20;2.27%;91;10.32%;11;1.26%;;;;
Europees;2019;08279804007;4;7;1864;950;8;12;930;50.97%;260;27.72%;144;15.35%;176;18.76%;;;125;13.33%;23;2.45%;38;4.05%;;;37;3.94%;110;11.73%;17;1.83%;;;;
Europees;2019;08279804008;4;8;960;572;5;5;562;59.58%;135;23.81%;83;14.64%;119;20.99%;;;84;14.81%;26;4.59%;12;2.12%;;;17;3.00%;64;11.29%;22;3.91%;;;;
Europees;2019;08279804009;4;9;732;402;4;3;395;54.92%;127;31.83%;31;7.77%;61;15.29%;;;58;14.54%;28;7.02%;21;5.26%;;;2;0.50%;54;13.53%;13;3.29%;;;;
Europees;2019;08279804010;4;10;726;365;3;0;362;50.28%;172;47.12%;29;7.95%;39;10.68%;;;50;13.70%;15;4.11%;12;3.29%;;;7;1.92%;32;8.77%;6;1.66%;;;;
Europees;2019;08279804012;4;12;1029;661;9;4;648;64.24%;154;23.44%;161;24.51%;153;23.29%;;;56;8.52%;14;2.13%;23;3.50%;;;16;2.44%;59;8.98%;12;1.85%;;;;
Europees;2019;08279804013;4;13;1176;815;1;0;814;69.30%;128;15.71%;261;32.02%;225;27.61%;;;70;8.59%;39;4.79%;6;0.74%;;;17;2.09%;52;6.38%;16;1.97%;;;;
Europees;2019;08279804014;4;14;995;770;4;0;766;77.39%;77;10.00%;370;48.05%;181;23.51%;;;39;5.06%;37;4.81%;2;0.26%;;;7;0.91%;45;5.84%;8;1.04%;;;;
Europees;2019;08279804015;4;15;869;630;1;1;628;72.50%;62;9.86%;336;53.42%;125;19.87%;;;28;4.45%;24;3.82%;4;0.64%;;;10;1.59%;34;5.41%;5;0.80%;;;;
Europees;2019;08279804016;4;16;974;716;3;0;713;73.51%;75;10.47%;333;46.51%;163;22.77%;;;43;6.01%;37;5.17%;11;1.54%;;;6;0.84%;35;4.89%;10;1.40%;;;;
Europees;2019;08279804017;4;17;1166;866;4;0;862;74.27%;142;16.40%;323;37.30%;216;24.94%;;;57;6.58%;41;4.73%;15;1.73%;;;10;1.15%;46;5.31%;12;1.39%;;;;
Europees;2019;08279804018;4;18;1935;1301;7;6;1288;67.24%;267;20.62%;380;29.34%;338;26.10%;;;99;7.64%;37;2.86%;23;1.78%;;;32;2.47%;92;7.10%;20;1.55%;;;;
Europees;2019;08279804019;4;19;940;552;1;7;544;58.72%;148;27.16%;90;16.51%;125;22.94%;;;72;13.21%;27;4.95%;11;2.02%;;;11;2.02%;53;9.72%;7;1.29%;;;;
Europees;2019;08279804020;4;20;534;265;2;1;262;49.63%;122;46.21%;13;4.92%;36;13.64%;;;28;10.61%;17;6.44%;10;3.79%;;;8;3.03%;21;7.95%;7;2.67%;;;;
Europees;2019;08279804021;4;21;791;421;4;4;413;53.22%;175;41.97%;26;6.24%;72;17.27%;;;59;14.15%;19;4.56%;10;2.40%;;;6;1.44%;36;8.63%;10;2.42%;;;;
Europees;2019;08279804022;4;22;1647;977;7;3;967;59.32%;300;30.80%;108;11.09%;201;20.64%;;;129;13.24%;31;3.18%;39;4.00%;;;5;0.51%;135;13.86%;19;1.96%;;;;
Europees;2019;08279804023;4;23;1649;992;6;1;985;60.16%;330;33.30%;108;10.90%;172;17.36%;;;135;13.62%;27;2.72%;40;4.04%;;;24;2.42%;130;13.12%;19;1.93%;;;;
Europees;2019;08279804024;4;24;1578;833;3;1;829;52.79%;238;28.61%;100;12.02%;156;18.75%;;;125;15.02%;33;3.97%;36;4.33%;;;15;1.80%;114;13.70%;12;1.45%;;;;
Europees;2019;08279804025;4;25;882;551;6;2;543;62.47%;133;24.23%;110;20.04%;96;17.49%;;;82;14.94%;30;5.46%;14;2.55%;;;6;1.09%;65;11.84%;7;1.29%;;;;
Europees;2019;08279804026;4;26;1082;758;2;1;755;70.06%;105;13.87%;325;42.93%;187;24.70%;;;49;6.47%;17;2.25%;9;1.19%;;;9;1.19%;43;5.68%;11;1.46%;;;;
Europees;2019;08279805001;5;1;1527;999;7;2;990;65.42%;242;24.27%;205;20.56%;213;21.36%;;;95;9.53%;43;4.31%;37;3.71%;;;25;2.51%;116;11.63%;14;1.41%;;;;
Europees;2019;08279805002;5;2;1101;653;0;3;650;59.31%;252;38.77%;77;11.85%;79;12.15%;;;84;12.92%;40;6.15%;25;3.85%;;;10;1.54%;72;11.08%;11;1.69%;;;;
Europees;2019;08279805003;5;3;1485;933;4;0;929;62.83%;147;15.76%;268;28.72%;253;27.12%;;;90;9.65%;35;3.75%;14;1.50%;;;22;2.36%;87;9.32%;13;1.40%;;;;
Europees;2019;08279805004;5;4;1219;821;0;1;820;67.35%;171;20.85%;213;25.98%;218;26.59%;;;81;9.88%;40;4.88%;23;2.80%;;;11;1.34%;51;6.22%;12;1.46%;;;;
Europees;2019;08279805005;5;5;749;473;0;0;473;63.15%;83;17.55%;139;29.39%;129;27.27%;;;59;12.47%;18;3.81%;5;1.06%;;;7;1.48%;20;4.23%;13;2.75%;;;;
Europees;2019;08279805006;5;6;1569;1068;7;3;1058;68.07%;217;20.38%;320;30.05%;277;26.01%;;;69;6.48%;47;4.41%;17;1.60%;;;12;1.13%;83;7.79%;16;1.51%;;;;
Europees;2019;08279805007;5;7;871;639;1;1;637;73.36%;109;17.08%;201;31.50%;189;29.62%;;;57;8.93%;20;3.13%;11;1.72%;;;3;0.47%;33;5.17%;14;2.20%;;;;
Europees;2019;08279805008;5;8;1402;957;10;1;946;68.26%;188;19.67%;331;34.62%;240;25.10%;;;69;7.22%;29;3.03%;10;1.05%;;;12;1.26%;59;6.17%;8;0.85%;;;;
Europees;2019;08279805009;5;9;1376;958;3;0;955;69.62%;272;28.39%;209;21.82%;208;21.71%;;;102;10.65%;51;5.32%;21;2.19%;;;12;1.25%;70;7.31%;10;1.05%;;;;
Europees;2019;08279805010;5;10;1409;805;1;1;803;57.13%;322;40.05%;72;8.96%;94;11.69%;;;96;11.94%;53;6.59%;19;2.36%;;;17;2.11%;106;13.18%;24;2.99%;;;;
Europees;2019;08279805011;5;11;1447;973;8;4;961;67.24%;266;27.45%;228;23.53%;183;18.89%;;;104;10.73%;45;4.64%;16;1.65%;;;23;2.37%;85;8.77%;11;1.14%;;;;
Europees;2019;08279805012;5;12;579;368;0;1;367;63.56%;114;31.06%;64;17.44%;86;23.43%;;;46;12.53%;12;3.27%;11;3.00%;;;7;1.91%;21;5.72%;6;1.63%;;;;
Europees;2019;08279805013;5;13;1162;621;0;5;616;53.44%;208;33.77%;67;10.88%;114;18.51%;;;68;11.04%;25;4.06%;27;4.38%;;;15;2.44%;85;13.80%;7;1.14%;;;;
Europees;2019;08279805014;5;14;1577;995;3;2;990;63.09%;320;32.23%;116;11.68%;188;18.93%;;;136;13.70%;45;4.53%;22;2.22%;;;15;1.51%;130;13.09%;18;1.82%;;;;
Europees;2019;08279805015;5;15;1508;790;2;4;784;52.39%;277;35.24%;101;12.85%;142;18.07%;;;93;11.83%;31;3.94%;28;3.56%;;;18;2.29%;78;9.92%;16;2.04%;;;;
Europees;2019;08279805016;5;16;1897;1010;11;5;994;53.24%;344;34.23%;93;9.25%;206;20.50%;;;115;11.44%;46;4.58%;29;2.89%;;;21;2.09%;120;11.94%;20;2.01%;;;;
Europees;2019;08279805017;5;17;1326;872;4;1;867;65.76%;239;27.44%;159;18.25%;201;23.08%;;;100;11.48%;18;2.07%;22;2.53%;;;14;1.61%;100;11.48%;14;1.61%;;;;
Europees;2019;08279805018;5;18;996;652;3;5;644;65.46%;234;36.17%;52;8.04%;118;18.24%;;;87;13.45%;43;6.65%;14;2.16%;;;15;2.32%;61;9.43%;20;3.11%;;;;
Europees;2019;08279805019;5;19;917;533;6;1;526;58.12%;101;18.98%;120;22.56%;124;23.31%;;;63;11.84%;18;3.38%;11;2.07%;;;8;1.50%;62;11.65%;19;3.61%;;;;
Europees;2019;08279805020;5;20;1188;789;3;3;783;66.41%;154;19.59%;198;25.19%;214;27.23%;;;99;12.60%;31;3.94%;12;1.53%;;;14;1.78%;50;6.36%;11;1.40%;;;;
Europees;2019;08279805021;5;21;1398;896;3;1;892;64.09%;252;28.16%;160;17.88%;187;20.89%;;;97;10.84%;57;6.37%;23;2.57%;;;12;1.34%;84;9.39%;20;2.24%;;;;
Europees;2019;08279805022;5;22;565;345;1;1;343;61.06%;83;24.13%;67;19.48%;70;20.35%;;;39;11.34%;27;7.85%;6;1.74%;;;1;0.29%;45;13.08%;5;1.46%;;;;
Europees;2019;08279805023;5;23;1268;834;8;0;826;65.77%;131;15.71%;263;31.53%;243;29.14%;;;86;10.31%;22;2.64%;15;1.80%;;;9;1.08%;46;5.52%;11;1.33%;;;;
Europees;2019;08279805024;5;24;1191;760;7;2;751;63.81%;191;25.20%;164;21.64%;158;20.84%;;;77;10.16%;29;3.83%;16;2.11%;;;15;1.98%;92;12.14%;9;1.20%;;;;
Europees;2019;08279805025;5;25;905;549;4;0;545;60.66%;179;32.60%;84;15.30%;139;25.32%;;;54;9.84%;19;3.46%;12;2.19%;;;11;2.00%;42;7.65%;5;0.92%;;;;
Europees;2019;08279805026;5;26;1000;687;2;1;684;68.70%;118;17.20%;212;30.90%;185;26.97%;;;57;8.31%;26;3.79%;13;1.90%;;;9;1.31%;55;8.02%;9;1.32%;;;;
Europees;2019;08279805027;5;27;926;657;5;2;650;70.95%;112;17.10%;183;27.94%;177;27.02%;;;63;9.62%;22;3.36%;8;1.22%;;;9;1.37%;65;9.92%;11;1.69%;;;;
Europees;2019;08279805028;5;28;897;631;4;4;623;70.35%;207;33.01%;86;13.72%;93;14.83%;;;91;14.51%;18;2.87%;18;2.87%;;;15;2.39%;89;14.19%;6;0.96%;;;;
Europees;2019;08279805029;5;29;905;612;5;1;606;67.62%;168;27.50%;100;16.37%;122;19.97%;;;86;14.08%;19;3.11%;21;3.44%;;;15;2.45%;60;9.82%;15;2.48%;;;;
Europees;2019;08279806001;6;1;898;553;0;0;553;61.58%;215;38.88%;63;11.39%;87;15.73%;;;53;9.58%;15;2.71%;23;4.16%;;;10;1.81%;70;12.66%;17;3.07%;;;;
Europees;2019;08279806002;6;2;1186;648;5;1;642;54.64%;196;30.29%;94;14.53%;119;18.39%;;;79;12.21%;19;2.94%;25;3.86%;;;15;2.32%;79;12.21%;16;2.49%;;;;
Europees;2019;08279806003;6;3;1490;821;3;2;816;55.10%;295;36.02%;78;9.52%;116;14.16%;;;99;12.09%;67;8.18%;26;3.17%;;;18;2.20%;92;11.23%;25;3.06%;;;;
Europees;2019;08279806004;6;4;890;432;1;2;429;48.54%;129;30.00%;56;13.02%;72;16.74%;;;45;10.47%;37;8.60%;14;3.26%;;;9;2.09%;56;13.02%;11;2.56%;;;;
Europees;2019;08279806005;6;5;1084;600;4;1;595;55.35%;181;30.22%;80;13.36%;117;19.53%;;;85;14.19%;11;1.84%;17;2.84%;;;14;2.34%;70;11.69%;20;3.36%;;;;
Europees;2019;08279806006;6;6;1156;580;6;1;573;50.17%;186;32.12%;41;7.08%;79;13.64%;;;86;14.85%;21;3.63%;16;2.76%;;;19;3.28%;113;19.52%;12;2.09%;;;;
Europees;2019;08279806008;6;8;1668;997;6;8;983;59.77%;252;25.48%;226;22.85%;230;23.26%;;;100;10.11%;28;2.83%;20;2.02%;;;18;1.82%;86;8.70%;23;2.34%;;;;
Europees;2019;08279806009;6;9;935;559;4;0;555;59.79%;196;35.06%;52;9.30%;98;17.53%;;;68;12.16%;27;4.83%;17;3.04%;;;18;3.22%;70;12.52%;9;1.62%;;;;
Europees;2019;08279806010;6;10;1627;992;13;2;977;60.97%;367;37.07%;104;10.51%;154;15.56%;;;119;12.02%;47;4.75%;24;2.42%;;;13;1.31%;136;13.74%;13;1.33%;;;;
Europees;2019;08279806011;6;11;1256;637;4;3;630;50.72%;235;37.07%;64;10.09%;83;13.09%;;;90;14.20%;42;6.62%;24;3.79%;;;14;2.21%;67;10.57%;11;1.75%;;;;
Europees;2019;08279806012;6;12;945;521;3;4;514;55.13%;185;35.78%;53;10.25%;103;19.92%;;;57;11.03%;35;6.77%;17;3.29%;;;5;0.97%;52;10.06%;7;1.36%;;;;
Europees;2019;08279806013;6;13;695;390;0;0;390;56.12%;164;42.05%;21;5.38%;48;12.31%;;;64;16.41%;15;3.85%;13;3.33%;;;2;0.51%;56;14.36%;7;1.79%;;;;
Europees;2019;08279806014;6;14;720;327;5;2;320;45.42%;124;38.15%;27;8.31%;43;13.23%;;;37;11.38%;29;8.92%;13;4.00%;;;7;2.15%;32;9.85%;8;2.50%;;;;
Europees;2019;08279806016;6;16;1142;586;5;2;579;51.31%;194;33.22%;105;17.98%;81;13.87%;;;72;12.33%;25;4.28%;14;2.40%;;;11;1.88%;64;10.96%;13;2.25%;;;;
Europees;2019;08279806018;6;18;890;497;3;3;491;55.84%;214;43.32%;30;6.07%;48;9.72%;;;59;11.94%;25;5.06%;26;5.26%;;;7;1.42%;70;14.17%;12;2.44%;;;;
Europees;2019;08279806020;6;20;1109;481;2;2;477;43.37%;206;43.01%;21;4.38%;60;12.53%;;;58;12.11%;28;5.85%;24;5.01%;;;8;1.67%;64;13.36%;8;1.68%;;;;
Europees;2019;08279806023;6;23;991;536;5;2;529;54.09%;208;38.95%;30;5.62%;83;15.54%;;;40;7.49%;36;6.74%;16;3.00%;;;9;1.69%;93;17.42%;14;2.65%;;;;
Europees;2019;08279806024;6;24;1779;996;4;6;986;55.99%;357;36.06%;55;5.56%;146;14.75%;;;133;13.43%;38;3.84%;41;4.14%;;;26;2.63%;177;17.88%;13;1.32%;;;;
