Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;PSC;% PSC;CiU;% CiU;ERC;% ERC;PP;% PP;ICV;% ICV;Altres;% Altres
Municipals;2003;6;6;2000;928;17;0;911;928;46.40%;460;49.57%;90;9.70%;32;3.45%;129;13.90%;193;20.80%;7;0.75%
Municipals;2003;6;8;1550;809;5;4;800;805;52.19%;354;43.98%;134;16.65%;112;13.91%;88;10.93%;105;13.04%;7;0.87%
Municipals;2003;6;9;968;476;7;0;469;476;49.17%;238;50.00%;53;11.13%;37;7.77%;70;14.71%;68;14.29%;3;0.63%
Municipals;2003;6;10;2266;1072;15;5;1052;1067;47.31%;552;51.73%;123;11.53%;73;6.84%;123;11.53%;167;15.65%;14;1.31%
Municipals;2003;6;11;1456;574;6;4;564;570;39.42%;323;56.67%;39;6.84%;24;4.21%;70;12.28%;101;17.72%;7;1.23%
Municipals;2003;6;12;1070;594;7;2;585;592;55.51%;313;52.87%;65;10.98%;32;5.41%;76;12.84%;93;15.71%;6;1.01%
Municipals;2003;6;13;719;468;5;0;463;468;65.09%;240;51.28%;33;7.05%;13;2.78%;64;13.68%;107;22.86%;6;1.28%
Municipals;2003;6;14;816;392;10;1;381;391;48.04%;249;63.68%;27;6.91%;8;2.05%;52;13.30%;43;11.00%;2;0.51%
Municipals;2003;6;16;1068;523;7;2;514;521;48.97%;237;45.49%;102;19.58%;19;3.65%;67;12.86%;76;14.59%;13;2.50%
Municipals;2003;6;18;567;322;2;0;320;322;56.79%;191;59.32%;47;14.60%;6;1.86%;27;8.39%;48;14.91%;1;0.31%
Municipals;2003;6;19;532;309;3;0;306;309;58.08%;164;53.07%;65;21.04%;4;1.29%;37;11.97%;33;10.68%;3;0.97%
Municipals;2003;6;20;581;316;0;0;316;316;54.39%;163;51.58%;51;16.14%;13;4.11%;39;12.34%;43;13.61%;7;2.22%
Municipals;2003;6;21;906;471;3;1;467;470;51.99%;241;51.28%;71;15.11%;16;3.40%;68;14.47%;66;14.04%;5;1.06%
Municipals;2003;6;23;1054;515;7;3;505;512;48.86%;271;52.93%;81;15.82%;17;3.32%;69;13.48%;67;13.09%;0;0.00%
Municipals;2003;6;24;1931;911;9;7;895;904;47.18%;467;51.66%;79;8.74%;37;4.09%;139;15.38%;159;17.59%;14;1.55%
Municipals;2003;6;25;1522;724;11;2;711;722;47.57%;403;55.82%;68;9.42%;37;5.12%;82;11.36%;115;15.93%;6;0.83%
Municipals;2003;6;26;1246;581;0;0;581;581;46.63%;347;59.72%;66;11.36%;15;2.58%;64;11.02%;78;13.43%;11;1.89%
Municipals;2003;6;27;1068;561;5;4;552;557;52.53%;342;61.40%;37;6.64%;19;3.41%;65;11.67%;83;14.90%;6;1.08%
Municipals;2003;6;28;1239;595;14;2;579;593;48.02%;304;51.26%;56;9.44%;12;2.02%;84;14.17%;123;20.74%;0;0.00%
