Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;Cs;% Cs;CUP;% CUP;ERC;% ERC;Junts;% Junts;Podem;% Podem;PP;% PP;PRIMARIES;% PRIMARIES;PSC;% PSC;TEC;% TEC;TxT;% TxT;VOX;% VOX;Altres;% Altres
Municipals;2019;2;17;8279802017;1367;688;4;5;679;683;49.96;72;10.54;14;2.05;69;10.1;14;2.05;38;5.56;13;1.9;10;1.46;183;26.79;26;3.81;210;30.75;30;4.39;0;0
Municipals;2019;3;1;8279803001;1316;786;3;1;782;785;59.65;65;8.28;32;4.08;139;17.71;37;4.71;27;3.44;21;2.68;6;0.76;157;20;41;5.22;239;30.45;17;2.17;1;0.0013
Municipals;2019;3;2;8279803002;1107;746;5;1;740;745;67.3;66;8.86;18;2.42;127;17.05;55;7.38;29;3.89;21;2.82;11;1.48;152;20.4;37;4.97;212;28.46;9;1.21;3;0.0041
Municipals;2019;3;3;8279803003;1222;695;6;1;688;694;56.79;76;10.95;8;1.15;73;10.52;39;5.62;27;3.89;24;3.46;2;0.29;166;23.92;33;4.76;209;30.12;29;4.18;2;0.0029
Municipals;2019;3;4;8279803004;941;475;4;3;468;472;50.16;37;7.84;17;3.6;53;11.23;11;2.33;36;7.63;29;6.14;1;0.21;100;21.19;20;4.24;150;31.78;14;2.97;0;0
Municipals;2019;3;5;8279803005;1747;1077;7;3;1067;1074;61.48;57;5.31;43;4;202;18.81;101;9.4;20;1.86;10;0.93;23;2.14;161;14.99;70;6.52;360;33.52;19;1.77;1;0.0009
Municipals;2019;3;6;8279803006;1527;1020;7;1;1012;1019;66.73;44;4.32;33;3.24;206;20.22;133;13.05;27;2.65;17;1.67;35;3.43;113;11.09;45;4.42;345;33.86;12;1.18;2;0.002
Municipals;2019;3;7;8279803007;1632;1061;4;1;1056;1060;64.95;83;7.83;51;4.81;208;19.62;103;9.72;29;2.74;24;2.26;21;1.98;135;12.74;59;5.57;324;30.57;18;1.7;1;0.0009
Municipals;2019;3;8;8279803008;1553;835;1;3;831;832;53.57;61;7.33;14;1.68;71;8.53;12;1.44;50;6.01;39;4.69;1;0.12;254;30.53;29;3.49;269;32.33;29;3.49;2;0.0024
Municipals;2019;3;14;8279803014;1090;518;3;4;511;514;47.16;49;9.53;21;4.09;67;13.04;10;1.95;8;1.56;17;3.31;5;0.97;136;26.46;17;3.31;166;32.3;13;2.53;2;0.0039
Municipals;2019;3;15;8279803015;918;558;0;0;558;558;60.78;42;7.53;18;3.23;89;15.95;18;3.23;17;3.05;20;3.58;2;0.36;142;25.45;36;6.45;154;27.6;20;3.58;0;0
Municipals;2019;3;16;8279803016;679;375;0;0;375;375;55.23;54;14.4;8;2.13;12;3.2;4;1.07;22;5.87;19;5.07;2;0.53;125;33.33;12;3.2;110;29.33;7;1.87;0;0
Municipals;2019;3;17;8279803017;840;452;1;3;448;449;53.45;58;12.92;4;0.89;24;5.35;3;0.67;28;6.24;20;4.45;0;0;167;37.19;19;4.23;115;25.61;10;2.23;0;0
Municipals;2019;3;18;8279803018;757;445;1;0;444;445;58.78;63;14.16;2;0.45;26;5.84;7;1.57;22;4.94;13;2.92;0;0;108;24.27;11;2.47;172;38.65;19;4.27;1;0.0023
Municipals;2019;3;19;8279803019;906;487;1;1;485;486;53.64;66;13.58;9;1.85;34;7;13;2.67;20;4.12;17;3.5;2;0.41;165;33.95;20;4.12;125;25.72;13;2.67;1;0.0021
Municipals;2019;3;20;8279803020;1181;654;5;1;648;653;55.29;48;7.35;31;4.75;79;12.1;30;4.59;33;5.05;12;1.84;9;1.38;165;25.27;23;3.52;210;32.16;7;1.07;1;0.0015
Municipals;2019;4;1;8279804001;1102;767;4;0;763;767;69.6;37;4.82;45;5.87;163;21.25;166;21.64;15;1.96;34;4.43;11;1.43;82;10.69;21;2.74;177;23.08;9;1.17;3;0.0039
Municipals;2019;4;2;8279804002;1156;814;2;2;810;812;70.24;38;4.68;39;4.8;196;24.14;169;20.81;11;1.35;19;2.34;17;2.09;72;8.87;36;4.43;199;24.51;7;0.86;7;0.0086
Municipals;2019;4;3;8279804003;1303;843;1;4;838;839;64.39;38;4.53;45;5.36;177;21.1;87;10.37;29;3.46;29;3.46;14;1.67;141;16.81;38;4.53;226;26.94;11;1.31;3;0.0036
Municipals;2019;4;4;8279804004;1153;735;3;5;727;730;63.31;57;7.81;37;5.07;152;20.82;51;6.99;32;4.38;17;2.33;14;1.92;127;17.4;49;6.71;182;24.93;9;1.23;0;0
Municipals;2019;4;5;8279804005;1214;700;1;2;697;698;57.5;55;7.88;28;4.01;141;20.2;59;8.45;20;2.87;14;2.01;10;1.43;99;14.18;18;2.58;242;34.67;11;1.58;0;0
Municipals;2019;4;6;8279804006;1453;899;1;4;894;895;61.6;83;9.27;45;5.03;121;13.52;34;3.8;42;4.69;34;3.8;14;1.56;211;23.58;34;3.8;258;28.83;17;1.9;1;0.0011
Municipals;2019;4;7;8279804007;1870;966;4;8;954;958;51.23;85;8.87;18;1.88;116;12.11;53;5.53;49;5.11;15;1.57;5;0.52;215;22.44;62;6.47;295;30.79;40;4.18;1;0.001
Municipals;2019;4;8;8279804008;961;588;3;3;582;585;60.87;63;10.77;28;4.79;67;11.45;26;4.44;36;6.15;19;3.25;1;0.17;112;19.15;47;8.03;171;29.23;11;1.88;1;0.0017
Municipals;2019;4;9;8279804009;731;406;6;1;399;405;55.4;42;10.37;6;1.48;41;10.12;3;0.74;24;5.93;20;4.94;0;0;106;26.17;30;7.41;106;26.17;21;5.19;0;0
Municipals;2019;4;10;8279804010;728;368;0;0;368;368;50.55;24;6.52;9;2.45;20;5.43;7;1.9;29;7.88;15;4.08;1;0.27;138;37.5;18;4.89;99;26.9;7;1.9;1;0.0027
Municipals;2019;4;12;8279804012;1029;664;3;1;660;663;64.43;52;7.84;31;4.68;89;13.42;54;8.14;18;2.71;9;1.36;9;1.36;129;19.46;42;6.33;206;31.07;21;3.17;0;0
Municipals;2019;4;13;8279804013;1180;820;5;1;814;819;69.41;40;4.88;39;4.76;160;19.54;88;10.74;12;1.47;25;3.05;25;3.05;88;10.74;36;4.4;293;35.78;5;0.61;3;0.0037
Municipals;2019;4;14;8279804014;994;770;1;0;769;770;77.46;37;4.81;43;5.58;199;25.84;150;19.48;16;2.08;35;4.55;32;4.16;59;7.66;20;2.6;174;22.6;3;0.39;1;0.0013
Municipals;2019;4;15;8279804015;870;636;3;0;633;636;73.1;36;5.66;35;5.5;157;24.69;134;21.07;6;0.94;12;1.89;28;4.4;55;8.65;22;3.46;144;22.64;1;0.16;3;0.0047
Municipals;2019;4;16;8279804016;976;722;5;1;716;721;73.87;37;5.13;39;5.41;155;21.5;150;20.8;12;1.66;29;4.02;15;2.08;50;6.93;30;4.16;188;26.07;5;0.69;6;0.0084
Municipals;2019;4;17;8279804017;1171;875;3;0;872;875;74.72;43;4.91;36;4.11;168;19.2;111;12.69;19;2.17;27;3.09;32;3.66;105;12;33;3.77;279;31.89;15;1.71;4;0.0046
Municipals;2019;4;18;8279804018;1934;1320;6;3;1311;1317;68.1;71;5.39;79;6;231;17.54;140;10.63;21;1.59;27;2.05;18;1.37;213;16.17;93;7.06;395;29.99;23;1.75;0;0
Municipals;2019;4;19;8279804019;942;564;1;4;559;560;59.45;57;10.18;26;4.64;70;12.5;22;3.93;23;4.11;18;3.21;2;0.36;107;19.11;57;10.18;161;28.75;15;2.68;1;0.0018
Municipals;2019;4;20;8279804020;535;267;0;1;266;266;49.72;20;7.52;2;0.75;21;7.89;3;1.13;10;3.76;11;4.14;0;0;105;39.47;8;3.01;74;27.82;12;4.51;0;0
Municipals;2019;4;21;8279804021;792;429;5;5;419;424;53.54;38;8.96;6;1.42;36;8.49;3;0.71;20;4.72;10;2.36;2;0.47;134;31.6;26;6.13;133;31.37;10;2.36;1;0.0024
Municipals;2019;4;22;8279804022;1646;994;2;6;986;988;60.02;116;11.74;17;1.72;118;11.94;32;3.24;44;4.45;25;2.53;2;0.2;217;21.96;59;5.97;315;31.88;39;3.95;2;0.002
Municipals;2019;4;23;8279804023;1650;1006;2;4;1000;1002;60.73;103;10.28;20;2;108;10.78;27;2.69;56;5.59;23;2.3;7;0.7;250;24.95;66;6.59;306;30.54;34;3.39;0;0
Municipals;2019;4;24;8279804024;1578;851;4;0;847;851;53.93;96;11.28;17;2;90;10.58;28;3.29;36;4.23;20;2.35;9;1.06;185;21.74;50;5.88;283;33.25;33;3.88;0;0
Municipals;2019;4;25;8279804025;882;551;2;3;546;548;62.13;56;10.22;14;2.55;72;13.14;38;6.93;29;5.29;21;3.83;3;0.55;117;21.35;37;6.75;147;26.82;12;2.19;0;0
Municipals;2019;4;26;8279804026;1084;762;2;0;760;762;70.3;36;4.72;31;4.07;164;21.52;127;16.67;15;1.97;14;1.84;35;4.59;86;11.29;36;4.72;207;27.17;4;0.52;5;0.0066
Municipals;2019;5;1;8279805001;1527;1004;7;5;992;999;65.42;96;9.61;32;3.2;133;13.31;59;5.91;27;2.7;25;2.5;14;1.4;217;21.72;35;3.5;319;31.93;35;3.5;0;0
Municipals;2019;5;2;8279805002;1101;674;0;1;673;673;61.13;62;9.21;11;1.63;37;5.5;15;2.23;32;4.75;25;3.71;5;0.74;230;34.18;31;4.61;195;28.97;28;4.16;2;0.003
Municipals;2019;5;3;8279805003;1488;943;1;0;942;943;63.37;69;7.32;41;4.35;209;22.16;72;7.64;41;4.35;21;2.23;20;2.12;142;15.06;37;3.92;271;28.74;15;1.59;4;0.0042
Municipals;2019;5;4;8279805004;1226;835;2;0;833;835;68.11;44;5.27;37;4.43;171;20.48;67;8.02;27;3.23;29;3.47;4;0.48;146;17.49;49;5.87;232;27.78;24;2.87;3;0.0036
Municipals;2019;5;5;8279805005;747;478;1;0;477;478;63.99;24;5.02;36;7.53;93;19.46;51;10.67;22;4.6;13;2.72;7;1.46;71;14.85;25;5.23;126;26.36;8;1.67;1;0.0021
Municipals;2019;5;6;8279805006;1571;1074;3;0;1071;1074;68.36;82;7.64;48;4.47;194;18.06;106;9.87;34;3.17;32;2.98;20;1.86;177;16.48;53;4.93;310;28.86;14;1.3;1;0.0009
Municipals;2019;5;7;8279805007;873;643;4;0;639;643;73.65;26;4.04;49;7.62;140;21.77;65;10.11;18;2.8;11;1.71;13;2.02;90;14;39;6.07;174;27.06;12;1.87;2;0.0031
Municipals;2019;5;8;8279805008;1403;962;6;1;955;961;68.5;43;4.47;32;3.33;211;21.96;118;12.28;19;1.98;22;2.29;14;1.46;169;17.59;41;4.27;270;28.1;13;1.35;3;0.0031
